EVENT,BOUT,METHOD,ROUND,TIME,FIGHTER_1,FIGHTER_2,Total_Rounds_Format,Main_round_time_Format,Num_overtime_rounds_Format,Overtime_round_time_Format,gender,is_title_bout,weight_class,fighter_1_result,fighter_2_result
ufc fight night: hernandez vs. pereira,charles johnson  vs.  sumudaerji,decision - unanimous,3,300,charles johnson,sumudaerji,3.0,5.0,0.0,0.0,0,0,flyweight,W,L
ufc fight night: hernandez vs. pereira,jake hadley  vs. cameron smotherman,decision - unanimous,3,300,jake hadley,cameron smotherman,3.0,5.0,0.0,0.0,0,0,bantamweight,L,W
ufc fight night: hernandez vs. pereira,darren elkins  vs. daniel pineda,decision - unanimous,3,300,darren elkins,daniel pineda,3.0,5.0,0.0,0.0,0,0,featherweight,W,L
ufc fight night: hernandez vs. pereira,matheus nicolau  vs. asu almabayev,decision - unanimous,3,300,matheus nicolau,asu almabayev,3.0,5.0,0.0,0.0,0,0,flyweight,L,W
ufc fight night: hernandez vs. pereira,brad katona  vs. jean matsumoto,decision - unanimous,3,300,brad katona,jean matsumoto,3.0,5.0,0.0,0.0,0,0,bantamweight,L,W
ufc fight night: hernandez vs. pereira,joselyne edwards  vs. tamires vidal,submission,3,273,joselyne edwards,tamires vidal,3.0,5.0,0.0,0.0,1,0,bantamweight,W,L
ufc fight night: hernandez vs. pereira,jessica penne  vs. elise reed,decision - unanimous,3,300,jessica penne,elise reed,3.0,5.0,0.0,0.0,1,0,strawweight,L,W
ufc fight night: hernandez vs. pereira,melissa martinez  vs. alice ardelean,decision - unanimous,3,300,melissa martinez,alice ardelean,3.0,5.0,0.0,0.0,1,0,strawweight,W,L
ufc fight night: hernandez vs. pereira,austen lane  vs. robelis despaigne,decision - unanimous,3,300,austen lane,robelis despaigne,3.0,5.0,0.0,0.0,0,0,heavyweight,W,L
ufc fight night: royval vs. taira,brandon royval  vs. tatsuro taira,decision - split,5,300,brandon royval,tatsuro taira,5.0,5.0,0.0,0.0,0,0,flyweight,W,L
ufc fight night: royval vs. taira,brad tavares  vs. junyong park,decision - split,3,300,brad tavares,junyong park,3.0,5.0,0.0,0.0,0,0,middleweight,L,W
ufc fight night: royval vs. taira,chidi njokuani  vs. jared gooden,decision - unanimous,3,300,chidi njokuani,jared gooden,3.0,5.0,0.0,0.0,0,0,welterweight,W,L
ufc fight night: royval vs. taira,grant dawson  vs. rafa garcia,ko/tko,2,102,grant dawson,rafa garcia,3.0,5.0,0.0,0.0,0,0,lightweight,W,L
ufc fight night: royval vs. taira,daniel rodriguez  vs. alex morono,decision - split,3,300,daniel rodriguez,alex morono,3.0,5.0,0.0,0.0,0,0,welterweight,W,L
ufc fight night: royval vs. taira,cj vergara  vs. ramazan temirov,ko/tko,1,170,cj vergara,ramazan temirov,3.0,5.0,0.0,0.0,0,0,flyweight,L,W
ufc fight night: royval vs. taira,jonathan pearce  vs. pat sabatini,submission,1,246,jonathan pearce,pat sabatini,3.0,5.0,0.0,0.0,0,0,featherweight,L,W
ufc fight night: royval vs. taira,themba gorimbo  vs. niko price,decision - unanimous,3,300,themba gorimbo,niko price,3.0,5.0,0.0,0.0,0,0,welterweight,W,L
ufc fight night: royval vs. taira,junior tafa  vs. sean sharaf,ko/tko,2,135,junior tafa,sean sharaf,3.0,5.0,0.0,0.0,0,0,heavyweight,W,L
ufc fight night: royval vs. taira,julia polastri  vs. cory mckenna,decision - split,3,300,julia polastri,cory mckenna,3.0,5.0,0.0,0.0,1,0,strawweight,W,L
ufc fight night: royval vs. taira,dan argueta  vs. cody haddon,decision - unanimous,3,300,dan argueta,cody haddon,3.0,5.0,0.0,0.0,0,0,bantamweight,L,W
ufc fight night: royval vs. taira,clayton carpenter  vs. lucas rocha,submission,2,132,clayton carpenter,lucas rocha,3.0,5.0,0.0,0.0,0,0,flyweight,W,L
ufc 307: pereira vs. rountree jr.,alex pereira  vs. khalil rountree jr.,ko/tko,4,272,alex pereira,khalil rountree jr.,5.0,5.0,0.0,0.0,0,1,light heavyweight,W,L
ufc 307: pereira vs. rountree jr.,raquel pennington  vs. julianna pena,decision - split,5,300,raquel pennington,julianna pena,5.0,5.0,0.0,0.0,1,1,bantamweight,L,W
ufc 307: pereira vs. rountree jr.,jose aldo  vs. mario bautista,decision - split,3,300,jose aldo,mario bautista,3.0,5.0,0.0,0.0,0,0,bantamweight,L,W
ufc 307: pereira vs. rountree jr.,roman dolidze  vs. kevin holland,ko/tko,1,300,roman dolidze,kevin holland,3.0,5.0,0.0,0.0,0,0,middleweight,W,L
ufc 307: pereira vs. rountree jr.,ketlen vieira  vs. kayla harrison,decision - unanimous,3,300,ketlen vieira,kayla harrison,3.0,5.0,0.0,0.0,1,0,bantamweight,L,W
ufc 307: pereira vs. rountree jr.,stephen thompson  vs. joaquin buckley,ko/tko,3,137,stephen thompson,joaquin buckley,3.0,5.0,0.0,0.0,0,0,welterweight,L,W
ufc 307: pereira vs. rountree jr.,marina rodriguez  vs. iasmin lucindo,decision - split,3,300,marina rodriguez,iasmin lucindo,3.0,5.0,0.0,0.0,1,0,strawweight,L,W
ufc 307: pereira vs. rountree jr.,austin hubbard  vs. alexander hernandez,decision - split,3,300,austin hubbard,alexander hernandez,3.0,5.0,0.0,0.0,0,0,lightweight,L,W
ufc 307: pereira vs. rountree jr.,cesar almeida  vs. ihor potieria,decision - unanimous,3,300,cesar almeida,ihor potieria,3.0,5.0,0.0,0.0,0,0,middleweight,W,L
ufc 307: pereira vs. rountree jr.,ryan spann  vs. ovince saint preux,submission,1,95,ryan spann,ovince saint preux,3.0,5.0,0.0,0.0,0,0,light heavyweight,W,L
ufc 307: pereira vs. rountree jr.,carla esparza  vs. tecia pennington,decision - unanimous,3,300,carla esparza,tecia pennington,3.0,5.0,0.0,0.0,1,0,strawweight,L,W
ufc 307: pereira vs. rountree jr.,court mcgee  vs. tim means,submission,1,199,court mcgee,tim means,3.0,5.0,0.0,0.0,0,0,welterweight,W,L
ufc fight night: moicano vs. saint denis,renato moicano  vs. benoit saint denis,tko - doctor's stoppage,2,300,renato moicano,benoit saint denis,5.0,5.0,0.0,0.0,0,0,lightweight,W,L
ufc fight night: moicano vs. saint denis,nassourdine imavov  vs. brendan allen,decision - unanimous,3,300,nassourdine imavov,brendan allen,3.0,5.0,0.0,0.0,0,0,middleweight,W,L
ufc fight night: moicano vs. saint denis,william gomis  vs. joanderson brito,decision - split,3,300,william gomis,joanderson brito,3.0,5.0,0.0,0.0,0,0,featherweight,W,L
ufc fight night: moicano vs. saint denis,kevin jousset  vs. bryan battle,ko/tko,2,227,kevin jousset,bryan battle,3.0,5.0,0.0,0.0,0,0,welterweight,L,W
ufc fight night: moicano vs. saint denis,morgan charriere  vs. gabriel miranda,ko/tko,2,27,morgan charriere,gabriel miranda,3.0,5.0,0.0,0.0,0,0,featherweight,W,L
ufc fight night: moicano vs. saint denis,fares ziam  vs. matt frevola,ko/tko,3,179,fares ziam,matt frevola,3.0,5.0,0.0,0.0,0,0,lightweight,W,L
ufc fight night: moicano vs. saint denis,ion cutelaba  vs. ivan erslan,decision - split,3,300,ion cutelaba,ivan erslan,3.0,5.0,0.0,0.0,0,0,light heavyweight,W,L
ufc fight night: moicano vs. saint denis,oumar sy  vs. da woon jung,decision - unanimous,3,300,oumar sy,da woon jung,3.0,5.0,0.0,0.0,0,0,light heavyweight,W,L
ufc fight night: moicano vs. saint denis,ludovit klein  vs. roosevelt roberts,decision - unanimous,3,300,ludovit klein,roosevelt roberts,3.0,5.0,0.0,0.0,0,0,lightweight,W,L
ufc fight night: moicano vs. saint denis,taylor lapilus  vs. vince morales,decision - unanimous,3,300,taylor lapilus,vince morales,3.0,5.0,0.0,0.0,0,0,bantamweight,W,L
ufc fight night: moicano vs. saint denis,ailin perez  vs. daria zhelezniakova,submission,1,232,ailin perez,daria zhelezniakova,3.0,5.0,0.0,0.0,1,0,bantamweight,W,L
ufc fight night: moicano vs. saint denis,daniel barez  vs. victor altamirano,decision - unanimous,3,300,daniel barez,victor altamirano,3.0,5.0,0.0,0.0,0,0,flyweight,W,L
ufc fight night: moicano vs. saint denis,nora cornolle  vs. jacqueline cavalcanti,decision - split,3,300,nora cornolle,jacqueline cavalcanti,3.0,5.0,0.0,0.0,1,0,bantamweight,L,W
ufc fight night: moicano vs. saint denis,bolaji oki  vs. chris duncan,submission,1,214,bolaji oki,chris duncan,3.0,5.0,0.0,0.0,0,0,lightweight,L,W
ufc 306: riyadh season noche ufc,sean o'malley  vs. merab dvalishvili,decision - unanimous,5,300,sean o'malley,merab dvalishvili,5.0,5.0,0.0,0.0,0,1,bantamweight,L,W
ufc 306: riyadh season noche ufc,alexa grasso  vs. valentina shevchenko,decision - unanimous,5,300,alexa grasso,valentina shevchenko,5.0,5.0,0.0,0.0,1,1,flyweight,L,W
ufc 306: riyadh season noche ufc,brian ortega  vs. diego lopes,decision - unanimous,3,300,brian ortega,diego lopes,3.0,5.0,0.0,0.0,0,0,featherweight,L,W
ufc 306: riyadh season noche ufc,daniel zellhuber  vs. esteban ribovics,decision - split,3,300,daniel zellhuber,esteban ribovics,3.0,5.0,0.0,0.0,0,0,lightweight,L,W
ufc 306: riyadh season noche ufc,ronaldo rodriguez  vs. ode osbourne,decision - unanimous,3,300,ronaldo rodriguez,ode osbourne,3.0,5.0,0.0,0.0,0,0,flyweight,W,L
ufc 306: riyadh season noche ufc,irene aldana  vs. norma dumont,decision - unanimous,3,300,irene aldana,norma dumont,3.0,5.0,0.0,0.0,1,0,bantamweight,L,W
ufc 306: riyadh season noche ufc,manuel torres  vs. ignacio bahamondes,ko/tko,1,242,manuel torres,ignacio bahamondes,3.0,5.0,0.0,0.0,0,0,lightweight,L,W
ufc 306: riyadh season noche ufc,yazmin jauregui  vs. ketlen souza,submission,1,182,yazmin jauregui,ketlen souza,3.0,5.0,0.0,0.0,1,0,strawweight,L,W
ufc 306: riyadh season noche ufc,edgar chairez  vs. joshua van,decision - unanimous,3,300,edgar chairez,joshua van,3.0,5.0,0.0,0.0,0,0,flyweight,L,W
ufc 306: riyadh season noche ufc,raul rosas jr.  vs.  aoriqileng,decision - unanimous,3,300,raul rosas jr.,aoriqileng,3.0,5.0,0.0,0.0,0,0,bantamweight,W,L
ufc fight night: burns vs. brady,gilbert burns  vs. sean brady,decision - unanimous,5,300,gilbert burns,sean brady,5.0,5.0,0.0,0.0,0,0,welterweight,L,W
ufc fight night: burns vs. brady,jessica andrade  vs. natalia silva,decision - unanimous,3,300,jessica andrade,natalia silva,3.0,5.0,0.0,0.0,1,0,flyweight,L,W
ufc fight night: burns vs. brady,steve garcia  vs. kyle nelson,ko/tko,1,239,steve garcia,kyle nelson,3.0,5.0,0.0,0.0,0,0,featherweight,W,L
ufc fight night: burns vs. brady,matt schnell  vs. cody durden,submission,2,29,matt schnell,cody durden,3.0,5.0,0.0,0.0,0,0,bantamweight,L,W
ufc fight night: burns vs. brady,trevor peek  vs. yanal ashmouz,decision - unanimous,3,300,trevor peek,yanal ashmouz,3.0,5.0,0.0,0.0,0,0,lightweight,L,W
ufc fight night: burns vs. brady,rongzhu  vs. chris padilla,tko - doctor's stoppage,2,254,rongzhu,chris padilla,3.0,5.0,0.0,0.0,0,0,lightweight,L,W
ufc fight night: burns vs. brady,isaac dulgarian  vs. brendon marotte,submission,2,259,isaac dulgarian,brendon marotte,3.0,5.0,0.0,0.0,0,0,featherweight,W,L
ufc fight night: burns vs. brady,felipe dos santos  vs. andre lima,decision - unanimous,3,300,felipe dos santos,andre lima,3.0,5.0,0.0,0.0,0,0,flyweight,L,W
ufc fight night: burns vs. brady,yizha  vs. gabriel santos,decision - unanimous,3,300,yizha,gabriel santos,3.0,5.0,0.0,0.0,0,0,featherweight,L,W
ufc fight night: burns vs. brady,jaqueline amorim  vs. vanessa demopoulos,submission,1,208,jaqueline amorim,vanessa demopoulos,3.0,5.0,0.0,0.0,1,0,strawweight,W,L
ufc fight night: burns vs. brady,andre petroski  vs. dylan budka,decision - unanimous,3,300,andre petroski,dylan budka,3.0,5.0,0.0,0.0,0,0,middleweight,W,L
ufc fight night: burns vs. brady,zygimantas ramaska  vs. nathan fletcher,submission,2,74,zygimantas ramaska,nathan fletcher,3.0,5.0,0.0,0.0,0,0,featherweight,L,W
ufc fight night: cannonier vs. borralho,jared cannonier  vs. caio borralho,decision - unanimous,5,300,jared cannonier,caio borralho,5.0,5.0,0.0,0.0,0,0,middleweight,L,W
ufc fight night: cannonier vs. borralho,angela hill  vs. tabatha ricci,decision - unanimous,3,300,angela hill,tabatha ricci,3.0,5.0,0.0,0.0,1,0,strawweight,L,W
ufc fight night: cannonier vs. borralho,robert valentin  vs. ryan loder,ko/tko,2,109,robert valentin,ryan loder,3.0,5.0,,5.0,0,0,middleweight,L,W
ufc fight night: cannonier vs. borralho,kaan ofli  vs. mairon santos,ko/tko,2,90,kaan ofli,mairon santos,3.0,5.0,,5.0,0,0,featherweight,L,W
ufc fight night: cannonier vs. borralho,neil magny  vs. michael morales,ko/tko,1,279,neil magny,michael morales,3.0,5.0,0.0,0.0,0,0,welterweight,L,W
ufc fight night: cannonier vs. borralho,edmen shahbazyan  vs. gerald meerschaert,submission,2,252,edmen shahbazyan,gerald meerschaert,3.0,5.0,0.0,0.0,0,0,middleweight,L,W
ufc fight night: cannonier vs. borralho,dennis buzukja  vs. francis marshall,decision - split,3,300,dennis buzukja,francis marshall,3.0,5.0,0.0,0.0,0,0,lightweight,L,W
ufc fight night: cannonier vs. borralho,zachary reese  vs. jose daniel medina,decision - unanimous,3,300,zachary reese,jose daniel medina,3.0,5.0,0.0,0.0,0,0,middleweight,W,L
