fighter,D,L,NC,W,total
arjan bhullar ,0,1,0,2,3
arman tsarukyan,0,1,0,4,5
arman tsarukyan ,0,1,0,5,6
armen petrosyan,0,2,0,0,2
armen petrosyan ,0,0,0,3,3
arnold allen,0,1,0,3,4
arnold allen ,0,1,0,8,9
artem lobov,0,2,0,0,2
artem lobov ,0,3,0,2,5
asbel cancio,0,1,0,0,1
ashkan mokhtarian,0,2,0,0,2
ashlee evans-smith,0,2,0,2,4
ashlee evans-smith ,0,4,0,1,5
ashley yoder,0,5,0,0,5
ashley yoder ,0,3,0,3,6
askar askarov,1,0,0,3,4
askar askarov ,0,1,0,0,1
askar mozharov,0,1,0,0,1
aspen ladd,0,1,0,1,2
aspen ladd ,0,2,0,3,5
assu almabayev,0,0,0,1,1
assuerio silva,0,3,0,0,3
asu almabayev,0,0,0,2,2
asu almabayev ,0,0,0,1,1
augusto mendes,0,2,0,1,3
augusto montano ,0,2,0,1,3
augusto sakai,0,2,0,3,5
augusto sakai ,0,2,0,2,4
austen lane,0,1,0,0,1
austen lane ,0,1,1,1,3
austin arnett,0,2,0,1,3
austin arnett ,0,1,0,0,1
austin hubbard,0,4,0,1,5
austin hubbard ,0,2,0,3,5
austin lingo,0,1,0,1,2
austin lingo ,0,2,0,1,3
austin springer,0,1,0,0,1
azamat gashimov,0,2,0,0,2
azamat murzakanov,0,0,0,3,3
azamat murzakanov ,0,0,0,1,1
azat maksum,0,0,0,1,1
azat maksum ,0,1,0,0,1
azunna anyanwu,0,1,0,0,1
baergeng jieleyisi ,0,1,0,0,1
barb honchak,0,1,0,0,1
barb honchak ,0,1,0,0,1
bart palaszewski,0,2,0,1,3
bart palaszewski ,0,1,0,0,1
bartosz fabinski,0,2,0,2,4
bartosz fabinski ,0,1,0,1,2
bas rutten ,0,0,0,2,2
bassil hafez,0,1,0,1,2
bassil hafez ,0,1,0,0,1
batgerel danaa,0,3,0,0,3
bea malecki,0,0,0,1,1
bea malecki ,0,1,0,1,2
bec rawlings,0,2,0,0,2
bec rawlings ,0,3,0,2,5
bekzat almakhan,0,1,0,0,1
belal muhammad,0,2,1,9,12
belal muhammad ,0,1,0,6,7
ben alloway,0,1,0,0,1
ben alloway ,0,1,0,1,2
ben askren,0,2,0,1,3
ben earwood ,0,0,0,1,1
ben nguyen,0,3,0,2,5
ben nguyen ,0,0,0,2,2
ben rothwell,0,4,0,4,8
ben rothwell ,0,4,0,5,9
ben saunders,0,6,0,4,10
ben saunders ,0,4,0,5,9
ben sosoli,0,0,1,0,1
ben sosoli ,0,1,0,0,1
ben wall,0,1,0,0,1
ben wall ,0,1,0,0,1
benardo sopaj,0,1,0,0,1
beneil dariush,0,3,0,8,11
beneil dariush ,1,3,0,8,12
benito lopez,0,1,0,1,2
benito lopez ,0,1,0,1,2
benji radach,0,1,0,0,1
benji radach ,0,0,1,1,2
benoit saint denis,0,3,0,3,6
benoit saint denis ,0,0,0,2,2
benson henderson,0,1,0,4,5
benson henderson ,0,2,0,7,9
bentley syler ,0,1,0,0,1
bernardo magalhaes,0,2,0,0,2
besam yousef,0,2,0,0,2
bethe correia,0,3,0,4,7
bethe correia ,1,3,0,1,5
bevon lewis,0,2,0,0,2
bevon lewis ,0,1,0,1,2
bharat kandare,0,1,0,0,1
bibulatov magomed,0,1,0,1,2
bibulatov magomed ,0,1,0,0,1
bill algeo,0,4,0,2,6
bill algeo ,0,1,0,3,4
bill mahood,0,1,0,0,1
billy miles,0,1,0,0,1
billy quarantillo,0,4,0,1,5
billy quarantillo ,0,1,0,5,6
billy ray goff ,0,1,0,0,1
bj penn,0,7,0,1,8
bj penn ,2,6,0,11,19
blagoy ivanov,0,4,0,1,5
blagoy ivanov ,0,1,0,2,3
blake bilder,0,2,0,1,3
blood diamond,0,2,0,0,2
blood diamond ,0,1,0,0,1
bo nickal ,0,0,0,4,4
bob cook ,0,0,0,1,1
bob gilstrap,0,1,0,0,1
bobby green,1,5,0,8,14
bobby green ,0,5,1,5,11
bobby hoffman,0,2,0,0,2
bobby hoffman ,0,0,1,0,1
bobby moffett,0,2,1,0,3
bobby nash,0,2,0,0,2
bobby nash ,0,1,0,0,1
bobby southworth,0,1,0,0,1
bobby voelker,0,3,0,0,3
bobby voelker ,0,1,0,0,1
bogdan guskov,0,1,0,2,3
bojan mihajlovic,0,1,0,0,1
bojan mihajlovic ,0,2,0,0,2
bojan velickovic,1,2,0,2,5
bojan velickovic ,0,1,0,0,1
bolaji oki ,0,1,0,1,2
boston salmon,0,1,0,0,1
boston salmon ,0,1,0,0,1
brad blackburn,0,2,0,0,2
brad blackburn ,0,0,0,3,3
brad gumm,0,1,0,0,1
brad gumm ,1,0,0,0,1
brad imes,0,3,0,0,3
brad katona,0,0,0,1,1
brad katona ,0,4,0,3,7
brad kohler,0,1,0,0,1
brad kohler ,0,0,0,1,1
brad morris,0,2,0,0,2
brad pickett,0,1,0,1,2
brad pickett ,0,8,0,4,12
brad riddell,0,0,0,1,1
brad riddell ,0,3,0,3,6
brad scott,0,1,0,1,2
brad scott ,0,4,0,2,6
brad tavares,0,1,0,8,9
brad tavares ,0,9,0,7,16
brady hiestand,0,1,0,0,1
brady hiestand ,0,0,0,3,3
branden lee hinkle,0,2,0,0,2
branden lee hinkle ,0,0,0,1,1
brandon davis,0,6,0,1,7
brandon davis ,0,1,0,1,2
brandon jenkins,0,2,0,0,2
brandon melendez,0,1,0,0,1
brandon moreno,1,1,0,5,7
brandon moreno ,1,4,0,5,10
brandon royval,0,3,0,3,6
brandon royval ,0,0,0,4,4
brandon thatch,0,2,0,2,4
brandon thatch ,0,2,0,0,2
brandon vera,0,6,0,0,6
brandon vera ,0,1,1,8,10
brandon wolff,0,2,0,0,2
braxton smith ,0,1,0,0,1
brendan allen,0,1,0,5,6
brendan allen ,0,2,0,7,9
brendan loughnane ,0,1,0,0,1
brendan o'reilly,0,2,0,1,3
brendan o'reilly ,0,1,0,0,1
brendan schaub,0,4,0,1,5
brendan schaub ,0,1,0,5,6
brendon marotte,0,2,0,0,2
brendson ribeiro,0,2,0,1,3
brett johns,0,2,0,1,3
brett johns ,0,0,0,4,4
brian bowles,0,1,0,0,1
brian bowles ,0,1,0,2,3
brian camozzi,0,3,0,0,3
brian cobb,0,1,0,0,1
brian ebersole,0,0,0,3,3
brian ebersole ,0,3,0,2,5
brian foster,0,2,0,1,3
brian foster ,0,0,0,2,2
brian gassaway,0,1,0,0,1
brian geraghty,0,1,0,0,1
brian houston,0,2,0,0,2
brian johnston,0,4,0,0,4
brian johnston ,0,0,0,2,2
brian kelleher,0,4,0,4,8
brian kelleher ,0,5,0,4,9
brian melancon,0,1,0,1,2
brian ortega,0,2,1,5,8
brian ortega ,0,2,0,3,5
brian stann,0,5,0,1,6
brian stann ,0,0,0,5,5
brianna van buren,0,1,0,1,2
bristol marunde,0,1,0,0,1
bristol marunde ,0,1,0,0,1
brock jardine,0,2,0,0,2
brock larson,0,3,0,0,3
brock larson ,0,0,0,3,3
brock lesnar,0,1,0,0,1
brock lesnar ,0,2,1,4,7
brodie farber,0,2,0,0,2
brogan walker,0,1,0,0,1
brogan walker ,0,1,0,0,1
brok weaver,0,1,0,0,1
brok weaver ,0,1,0,1,2
bruna brasil,0,1,0,2,3
bruna brasil ,0,1,0,0,1
brunno ferreira,0,0,0,2,2
brunno ferreira ,0,1,0,1,2
bruno korea ,0,1,0,0,1
bruno santos,0,1,0,1,2
bruno santos ,0,1,0,0,1
bruno silva,0,4,1,6,11
bruno silva ,0,3,0,2,5
bruno souza,0,2,0,0,2
bryan barberena,0,6,0,6,12
bryan barberena ,0,4,0,3,7
bryan battle,0,0,0,3,3
bryan battle ,0,1,1,4,6
bryan caraway,0,3,0,3,6
bryan caraway ,0,1,0,3,4
bryce mitchell,0,1,0,2,3
bryce mitchell ,0,1,0,6,7
bubba bush,0,0,1,0,1
bubba bush ,0,1,0,0,1
buddy roberts,0,1,0,0,1
buddy roberts ,0,0,0,1,1
byron bloodworth,0,2,0,0,2
cain carrizosa,0,2,0,0,2
cain velasquez,0,1,0,2,3
cain velasquez ,0,2,0,10,12
caio borralho,0,0,0,3,3
caio borralho ,0,0,0,4,4
caio machado,0,2,0,0,2
caio machado ,0,1,0,0,1
caio magalhaes,0,3,0,1,4
caio magalhaes ,0,0,0,3,3
cal worsham,0,2,0,0,2
cal worsham ,0,0,0,1,1
cale yarbrough,0,1,0,0,1
callan potter ,0,2,0,1,3
calvin kattar,0,3,0,3,6
calvin kattar ,0,3,0,4,7
cameron dollar,0,1,0,0,1
cameron else,0,2,0,0,2
cameron saaiman,0,2,0,1,3
cameron saaiman ,0,0,0,2,2
cameron smotherman,0,0,0,1,1
cameron vancamp,0,2,0,0,2
caol uno,1,4,0,0,5
caol uno ,1,1,0,3,5
caolan loughran,0,2,0,1,3
carl deaton,0,2,0,0,2
carla esparza,0,1,0,3,4
carla esparza ,0,5,0,7,12
carli judice ,0,1,0,0,1
carlo pedersoli jr.,0,2,0,1,3
carlo prater,0,2,0,1,3
carlos barreto,0,1,0,0,1
carlos candelario,0,1,0,0,1
carlos candelario ,0,1,0,0,1
carlos condit,0,4,0,2,6
carlos condit ,0,6,0,7,13
carlos eduardo rocha,0,2,0,1,3
carlos felipe,0,1,0,1,2
carlos felipe ,0,1,0,2,3
carlos hernandez,0,3,0,2,5
carlos hernandez ,0,0,0,1,1
carlos huachin,0,2,0,0,2
carlos mota,0,1,0,0,1
carlos newton,0,4,0,0,4
carlos newton ,0,0,0,3,3
carlos prates,0,0,0,4,4
carlos ulberg,0,1,0,2,3
carlos ulberg ,0,0,0,5,5
carlos vera,0,1,0,0,1
carls john de tomas,0,1,0,0,1
carls john de tomas ,0,1,0,0,1
carlston harris,0,2,0,3,5
carlston harris ,0,0,0,1,1
carlton minus,0,1,0,0,1
carlton minus ,0,1,0,0,1
carmelo marrero,0,3,0,0,3
carmelo marrero ,0,0,0,1,1
caros fodor,0,1,0,0,1
casey kenney,0,2,0,4,6
casey kenney ,0,1,0,1,2
casey o'neill,0,1,0,3,4
casey o'neill ,0,1,0,2,3
cat zingano,0,1,0,1,2
cat zingano ,0,3,0,2,5
cathal pendred,0,0,0,1,1
cathal pendred ,0,2,0,3,5
cb dollaway,0,6,0,5,11
cb dollaway ,0,3,0,6,9
cesar almeida,0,0,0,1,1
cesar almeida ,0,1,0,1,2
cesar arzamendia ,0,2,0,0,2
cesar marscucci ,0,0,0,1,1
cezar ferreira,0,3,0,2,5
cezar ferreira ,0,3,0,7,10
chad anheliger,0,0,0,1,1
chad anheliger ,0,3,0,1,4
chad griggs,0,2,0,0,2
chad laprise,0,2,0,0,2
chad laprise ,0,2,0,6,8
chad mendes,0,3,0,1,4
chad mendes ,0,2,0,8,10
chad reiner,0,2,0,0,2
chael sonnen,0,7,0,1,8
chael sonnen ,0,0,0,6,6
chan sung jung,0,3,0,4,7
chan sung jung ,0,1,0,3,4
chan-mi jeon,0,2,0,0,2
chance rencountre,0,2,0,2,4
changho lee,0,0,0,1,1
charalampos grigoriou,0,1,0,0,1
charalampos grigoriou ,0,1,0,0,1
charles byrd,0,1,0,1,2
charles byrd ,0,2,0,0,2
charles johnson,0,3,0,2,5
charles johnson ,0,1,0,4,5
charles jourdain,0,4,0,4,8
charles jourdain ,1,3,0,3,7
charles mccarthy,0,2,0,0,2
charles mccarthy ,0,0,0,1,1
charles oliveira,0,7,1,11,19
charles oliveira ,0,3,0,12,15
charles radtke,0,0,0,3,3
charles radtke ,0,1,0,0,1
charles rosa,0,6,0,0,6
charles rosa ,0,2,0,5,7
charlie brenneman,0,6,0,0,6
charlie brenneman ,0,1,0,4,5
charlie campbell,0,0,0,2,2
charlie ontiveros,0,3,0,0,3
charlie valencia,0,1,0,0,1
charlie ward ,0,2,0,0,2
chas skelly,0,2,0,2,4
chas skelly ,0,1,1,6,8
chase gormley,0,2,0,0,2
chase hooper,0,1,0,1,2
chase hooper ,0,2,0,6,8
chase sherman,0,8,0,2,10
chase sherman ,0,3,0,2,5
che mills,0,1,0,1,2
che mills ,0,0,1,1,2
cheick kongo,0,6,0,0,6
cheick kongo ,1,0,0,11,12
chelsea chandler,0,2,0,2,4
chepe mariscal,0,0,0,4,4
cheyanne vlismas ,0,2,0,2,4
chico camus,0,3,0,2,5
chico camus ,0,1,1,1,3
chidi njokuani ,0,2,0,4,6
chris avila,0,2,0,0,2
chris barnett,0,1,0,2,3
chris barnett ,0,1,0,0,1
chris beal,0,2,0,0,2
chris beal ,0,1,0,2,3
chris brennan,0,2,0,0,2
chris brennan ,0,0,0,1,1
chris camozzi,0,6,0,3,9
chris camozzi ,0,4,0,6,10
chris cariaso,0,3,0,3,6
chris cariaso ,0,3,0,4,7
chris clements,0,1,0,2,3
chris clements ,0,1,1,0,2
chris condo,0,1,0,0,1
chris cope,0,1,0,1,2
chris cope ,0,1,0,0,1
chris curtis,0,2,1,2,5
chris curtis ,0,1,0,3,4
chris daukaus,0,4,0,2,6
chris daukaus ,0,0,0,2,2
chris de la rocha,0,1,0,1,2
chris de la rocha ,0,2,0,0,2
chris dempsey,0,2,0,1,3
chris dempsey ,0,1,0,0,1
chris duncan,0,1,0,1,2
chris duncan ,0,0,0,2,2
chris fishgold,0,3,0,1,4
chris gruetzemacher,0,2,0,1,3
chris gruetzemacher ,0,2,0,2,4
chris gutierrez,0,3,0,4,7
chris gutierrez ,1,0,0,5,6
chris haseman,0,1,0,0,1
chris heatherly,0,2,0,0,2
chris holdsworth ,0,0,0,2,2
chris indich,0,1,0,0,1
chris indich ,0,1,0,0,1
chris kelades,0,2,0,1,3
chris kelades ,0,0,0,1,1
chris leben,0,5,0,1,6
chris leben ,0,5,0,11,16
chris liguori,0,1,0,0,1
chris lytle,0,10,0,2,12
chris lytle ,0,0,0,8,8
chris padilla,0,0,0,2,2
chris price,0,2,0,0,2
chris sanford,0,1,0,0,1
chris saunders,0,1,0,0,1
chris spang ,0,1,0,0,1
chris tickle,0,1,0,0,1
chris tuchscherer,0,3,0,0,3
chris tuchscherer ,0,0,0,1,1
chris wade,0,1,0,2,3
chris wade ,0,1,0,3,4
chris weidman,0,2,0,7,9
chris weidman ,0,6,0,5,11
chris wilson,0,3,0,0,3
chris wilson ,0,0,0,1,1
christian aguilera,0,1,0,1,2
christian aguilera ,0,1,0,0,1
christian colombo,1,2,0,0,3
christian duncan ,0,0,0,1,1
christian leroy duncan,0,1,0,0,1
christian leroy duncan ,0,1,0,2,3
christian morecraft,0,2,0,1,3
christian morecraft ,0,1,0,0,1
christian rodriguez,0,2,0,1,3
christian rodriguez ,0,0,0,3,3
christian wellisch,0,3,0,0,3
christian wellisch ,0,0,0,2,2
christina marks ,0,1,0,0,1
christophe leninger,0,2,0,0,2
christos giagos,0,7,0,4,11
christos giagos ,0,1,0,2,3
chuck liddell,0,6,0,0,6
chuck liddell ,0,1,0,16,17
chuck o'neil ,0,1,0,0,1
cindy dandois,0,1,0,0,1
ciryl gane,0,2,0,3,5
ciryl gane ,0,0,0,7,7
cj fernandes,1,0,0,0,1
cj keith,0,2,0,0,2
cj vergara,0,1,0,1,2
cj vergara ,0,3,0,2,5
claude patrick,0,0,0,3,3
claude patrick ,0,1,0,0,1
claudia gadelha,0,1,0,0,1
claudia gadelha ,0,4,0,7,11
claudio puelles,0,2,0,1,3
claudio puelles ,0,1,0,4,5
claudio ribeiro,0,2,0,1,3
claudio ribeiro ,0,1,0,0,1
claudio silva,0,1,0,2,3
claudio silva ,0,2,0,3,5
clay collard,0,2,0,1,3
clay collard ,0,1,0,0,1
clay guida,0,9,0,3,12
clay guida ,0,10,0,15,25
clay harvison,0,1,0,0,1
clay harvison ,0,1,0,1,2
clayton carpenter ,0,0,0,2,2
clifford starks,0,1,0,1,2
clifford starks ,0,1,0,0,1
clint hester,0,3,0,2,5
clint hester ,0,0,0,2,2
cm punk ,0,1,1,0,2
cody brundage,0,2,1,3,6
cody brundage ,0,3,0,1,4
cody donovan,0,0,0,1,1
cody donovan ,0,3,0,0,3
cody durden,1,3,0,2,6
cody durden ,0,2,0,4,6
cody east,0,1,0,0,1
cody east ,0,1,0,0,1
cody garbrandt,0,4,0,4,8
cody garbrandt ,0,2,0,5,7
cody gibson,0,4,0,3,7
cody gibson ,0,1,0,0,1
cody haddon,0,0,0,1,1
cody mckenzie,0,2,0,1,3
cody mckenzie ,0,2,0,2,4
cody pfister,0,3,0,1,4
cody stamann,0,3,0,4,7
cody stamann ,1,4,0,3,8
colby covington,0,4,0,7,11
colby covington ,0,1,0,5,6
cole escovedo,0,2,0,0,2
cole escovedo ,0,1,0,0,1
cole miller,0,4,0,1,5
cole miller ,0,5,1,9,15
