,Fighter,Win,Loss,Draw,No Contest,Total Matches
557,caio machado ,0,1,0,0,1
558,caio magalhaes,1,3,0,0,4
559,caio magalhaes ,3,0,0,0,3
560,cal worsham,0,2,0,0,2
561,cal worsham ,1,0,0,0,1
562,cale yarbrough,0,1,0,0,1
563,callan potter ,1,2,0,0,3
564,calvin kattar,3,3,0,0,6
565,calvin kattar ,4,3,0,0,7
566,cameron dollar,0,1,0,0,1
567,cameron else,0,2,0,0,2
568,cameron saaiman,1,2,0,0,3
569,cameron saaiman ,2,0,0,0,2
570,cameron smotherman,1,0,0,0,1
571,cameron vancamp,0,2,0,0,2
572,caol uno,0,4,1,0,5
573,caol uno ,3,1,1,0,5
574,caolan loughran,1,2,0,0,3
575,carl deaton,0,2,0,0,2
576,carla esparza,3,1,0,0,4
577,carla esparza ,7,5,0,0,12
578,carli judice ,0,1,0,0,1
579,carlo pedersoli jr.,1,2,0,0,3
580,carlo prater,1,2,0,0,3
581,carlos barreto,0,1,0,0,1
582,carlos candelario,0,1,0,0,1
583,carlos candelario ,0,1,0,0,1
584,carlos condit,2,4,0,0,6
585,carlos condit ,7,6,0,0,13
586,carlos eduardo rocha,1,2,0,0,3
587,carlos felipe,1,1,0,0,2
588,carlos felipe ,2,1,0,0,3
589,carlos hernandez,2,3,0,0,5
590,carlos hernandez ,1,0,0,0,1
591,carlos huachin,0,2,0,0,2
592,carlos mota,0,1,0,0,1
593,carlos newton,0,4,0,0,4
594,carlos newton ,3,0,0,0,3
595,carlos prates,4,0,0,0,4
596,carlos ulberg,2,1,0,0,3
597,carlos ulberg ,5,0,0,0,5
598,carlos vera,0,1,0,0,1
599,carls john de tomas,0,1,0,0,1
600,carls john de tomas ,0,1,0,0,1
601,carlston harris,3,2,0,0,5
602,carlston harris ,1,0,0,0,1
603,carlton minus,0,1,0,0,1
604,carlton minus ,0,1,0,0,1
605,carmelo marrero,0,3,0,0,3
606,carmelo marrero ,1,0,0,0,1
607,caros fodor,0,1,0,0,1
608,casey kenney,4,2,0,0,6
609,casey kenney ,1,1,0,0,2
610,casey o'neill,3,1,0,0,4
611,casey o'neill ,2,1,0,0,3
612,cat zingano,1,1,0,0,2
613,cat zingano ,2,3,0,0,5
614,cathal pendred,1,0,0,0,1
615,cathal pendred ,3,2,0,0,5
616,cb dollaway,5,6,0,0,11
617,cb dollaway ,6,3,0,0,9
618,cesar almeida,1,0,0,0,1
619,cesar almeida ,1,1,0,0,2
620,cesar arzamendia ,0,2,0,0,2
621,cesar marscucci ,1,0,0,0,1
622,cezar ferreira,2,3,0,0,5
623,cezar ferreira ,7,3,0,0,10
624,chad anheliger,1,0,0,0,1
625,chad anheliger ,1,3,0,0,4
626,chad griggs,0,2,0,0,2
627,chad laprise,0,2,0,0,2
628,chad laprise ,6,2,0,0,8
629,chad mendes,1,3,0,0,4
630,chad mendes ,8,2,0,0,10
631,chad reiner,0,2,0,0,2
632,chael sonnen,1,7,0,0,8
633,chael sonnen ,6,0,0,0,6
634,chan sung jung,4,3,0,0,7
635,chan sung jung ,3,1,0,0,4
636,chan-mi jeon,0,2,0,0,2
637,chance rencountre,2,2,0,0,4
638,changho lee,1,0,0,0,1
639,charalampos grigoriou,0,1,0,0,1
640,charalampos grigoriou ,0,1,0,0,1
641,charles byrd,1,1,0,0,2
642,charles byrd ,0,2,0,0,2
643,charles johnson,2,3,0,0,5
644,charles johnson ,4,1,0,0,5
645,charles jourdain,4,4,0,0,8
646,charles jourdain ,3,3,1,0,7
647,charles mccarthy,0,2,0,0,2
648,charles mccarthy ,1,0,0,0,1
649,charles oliveira,11,7,0,1,19
650,charles oliveira ,12,3,0,0,15
651,charles radtke,3,0,0,0,3
652,charles radtke ,0,1,0,0,1
653,charles rosa,0,6,0,0,6
654,charles rosa ,5,2,0,0,7
655,charlie brenneman,0,6,0,0,6
656,charlie brenneman ,4,1,0,0,5
657,charlie campbell,2,0,0,0,2
658,charlie ontiveros,0,3,0,0,3
659,charlie valencia,0,1,0,0,1
660,charlie ward ,0,2,0,0,2
661,chas skelly,2,2,0,0,4
662,chas skelly ,6,1,0,1,8
663,chase gormley,0,2,0,0,2
664,chase hooper,1,1,0,0,2
665,chase hooper ,6,2,0,0,8
666,chase sherman,2,8,0,0,10
667,chase sherman ,2,3,0,0,5
668,che mills,1,1,0,0,2
669,che mills ,1,0,0,1,2
670,cheick kongo,0,6,0,0,6
671,cheick kongo ,11,0,1,0,12
672,chelsea chandler,2,2,0,0,4
673,chepe mariscal,4,0,0,0,4
674,cheyanne vlismas ,2,2,0,0,4
675,chico camus,2,3,0,0,5
676,chico camus ,1,1,0,1,3
677,chidi njokuani ,4,2,0,0,6
678,chris avila,0,2,0,0,2
679,chris barnett,2,1,0,0,3
680,chris barnett ,0,1,0,0,1
681,chris beal,0,2,0,0,2
682,chris beal ,2,1,0,0,3
683,chris brennan,0,2,0,0,2
684,chris brennan ,1,0,0,0,1
685,chris camozzi,3,6,0,0,9
686,chris camozzi ,6,4,0,0,10
687,chris cariaso,3,3,0,0,6
688,chris cariaso ,4,3,0,0,7
689,chris clements,2,1,0,0,3
690,chris clements ,0,1,0,1,2
691,chris condo,0,1,0,0,1
692,chris cope,1,1,0,0,2
693,chris cope ,0,1,0,0,1
694,chris curtis,2,2,0,1,5
695,chris curtis ,3,1,0,0,4
696,chris daukaus,2,4,0,0,6
697,chris daukaus ,2,0,0,0,2
698,chris de la rocha,1,1,0,0,2
699,chris de la rocha ,0,2,0,0,2
700,chris dempsey,1,2,0,0,3
701,chris dempsey ,0,1,0,0,1
702,chris duncan,1,1,0,0,2
703,chris duncan ,2,0,0,0,2
704,chris fishgold,1,3,0,0,4
705,chris gruetzemacher,1,2,0,0,3
706,chris gruetzemacher ,2,2,0,0,4
707,chris gutierrez,4,3,0,0,7
708,chris gutierrez ,5,0,1,0,6
709,chris haseman,0,1,0,0,1
710,chris heatherly,0,2,0,0,2
711,chris holdsworth ,2,0,0,0,2
712,chris indich,0,1,0,0,1
713,chris indich ,0,1,0,0,1
714,chris kelades,1,2,0,0,3
715,chris kelades ,1,0,0,0,1
716,chris leben,1,5,0,0,6
717,chris leben ,11,5,0,0,16
718,chris liguori,0,1,0,0,1
719,chris lytle,2,10,0,0,12
720,chris lytle ,8,0,0,0,8
721,chris padilla,2,0,0,0,2
722,chris price,0,2,0,0,2
723,chris sanford,0,1,0,0,1
724,chris saunders,0,1,0,0,1
725,chris spang ,0,1,0,0,1
726,chris tickle,0,1,0,0,1
727,chris tuchscherer,0,3,0,0,3
728,chris tuchscherer ,1,0,0,0,1
729,chris wade,2,1,0,0,3
730,chris wade ,3,1,0,0,4
731,chris weidman,7,2,0,0,9
732,chris weidman ,5,6,0,0,11
733,chris wilson,0,3,0,0,3
734,chris wilson ,1,0,0,0,1
735,christian aguilera,1,1,0,0,2
736,christian aguilera ,0,1,0,0,1
737,christian colombo,0,2,1,0,3
738,christian duncan ,1,0,0,0,1
739,christian leroy duncan,0,1,0,0,1
740,christian leroy duncan ,2,1,0,0,3
741,christian morecraft,1,2,0,0,3
742,christian morecraft ,0,1,0,0,1
743,christian rodriguez,1,2,0,0,3
744,christian rodriguez ,3,0,0,0,3
745,christian wellisch,0,3,0,0,3
746,christian wellisch ,2,0,0,0,2
747,christina marks ,0,1,0,0,1
748,christophe leninger,0,2,0,0,2
749,christos giagos,4,7,0,0,11
750,christos giagos ,2,1,0,0,3
751,chuck liddell,0,6,0,0,6
752,chuck liddell ,16,1,0,0,17
753,chuck o'neil ,0,1,0,0,1
754,cindy dandois,0,1,0,0,1
755,ciryl gane,3,2,0,0,5
756,ciryl gane ,7,0,0,0,7
757,cj fernandes,0,0,1,0,1
758,cj keith,0,2,0,0,2
759,cj vergara,1,1,0,0,2
760,cj vergara ,2,3,0,0,5
761,claude patrick,3,0,0,0,3
762,claude patrick ,0,1,0,0,1
763,claudia gadelha,0,1,0,0,1
764,claudia gadelha ,7,4,0,0,11
765,claudio puelles,1,2,0,0,3
766,claudio puelles ,4,1,0,0,5
767,claudio ribeiro,1,2,0,0,3
768,claudio ribeiro ,0,1,0,0,1
769,claudio silva,2,1,0,0,3
770,claudio silva ,3,2,0,0,5
771,clay collard,1,2,0,0,3
772,clay collard ,0,1,0,0,1
773,clay guida,3,9,0,0,12
774,clay guida ,15,10,0,0,25
775,clay harvison,0,1,0,0,1
776,clay harvison ,1,1,0,0,2
777,clayton carpenter ,2,0,0,0,2
778,clifford starks,1,1,0,0,2
779,clifford starks ,0,1,0,0,1
780,clint hester,2,3,0,0,5
781,clint hester ,2,0,0,0,2
782,cm punk ,0,1,0,1,2
783,cody brundage,3,2,0,1,6
784,cody brundage ,1,3,0,0,4
785,cody donovan,1,0,0,0,1
786,cody donovan ,0,3,0,0,3
787,cody durden,2,3,1,0,6
788,cody durden ,4,2,0,0,6
789,cody east,0,1,0,0,1
790,cody east ,0,1,0,0,1
791,cody garbrandt,4,4,0,0,8
792,cody garbrandt ,5,2,0,0,7
793,cody gibson,3,4,0,0,7
794,cody gibson ,0,1,0,0,1
795,cody haddon,1,0,0,0,1
796,cody mckenzie,1,2,0,0,3
797,cody mckenzie ,2,2,0,0,4
798,cody pfister,1,3,0,0,4
799,cody stamann,4,3,0,0,7
800,cody stamann ,3,4,1,0,8
801,colby covington,7,4,0,0,11
802,colby covington ,5,1,0,0,6
803,cole escovedo,0,2,0,0,2
804,cole escovedo ,0,1,0,0,1
805,cole miller,1,4,0,0,5
806,cole miller ,9,5,0,1,15
807,cole smith,1,0,0,0,1
808,cole smith ,0,2,0,0,2
809,cole williams,0,1,0,0,1
810,cole williams ,0,1,0,0,1
811,colin fletcher,0,1,0,0,1
812,colin fletcher ,0,1,0,0,1
813,colin robinson,0,2,0,0,2
814,collin anglin,0,1,0,0,1
815,collin anglin ,0,1,0,0,1
816,collin hart,0,1,0,0,1
817,colton smith ,1,3,0,0,4
818,connor matthews,0,1,0,0,1
819,conor mcgregor,6,3,0,0,9
820,conor mcgregor ,4,1,0,0,5
821,constantinos philippou,4,2,0,0,6
822,constantinos philippou ,2,2,0,0,4
823,corey anderson,4,3,0,0,7
824,corey anderson ,6,2,0,0,8
825,corey hill,0,2,0,0,2
826,corey hill ,1,0,0,0,1
827,cortavious romious,0,1,0,0,1
828,cortney casey,2,6,0,0,8
829,cortney casey ,4,3,0,0,7
830,cory hendricks ,0,1,0,0,1
831,cory mckenna,2,2,0,0,4
832,cory mckenna ,1,1,0,0,2
833,cory sandhagen,5,2,0,0,7
834,cory sandhagen ,5,2,0,0,7
835,cory walmsley,0,1,0,0,1
836,court mcgee,1,2,0,0,3
837,court mcgee ,10,10,0,0,20
838,courtney turner,0,1,0,0,1
839,crafton wallace,0,2,0,0,2
840,craig white,0,2,0,0,2
841,cristian quinonez,1,1,0,0,2
842,cristian quinonez ,0,1,0,0,1
843,cristiane justino ,6,1,0,0,7
844,cristiano marcello ,1,3,0,0,4
845,cristina stanciu,0,2,0,0,2
846,cub swanson,1,3,0,0,4
847,cub swanson ,14,7,0,0,21
848,cung le,1,2,0,0,3
849,cung le ,1,0,0,0,1
850,curt warburton,1,2,0,0,3
851,curtis blaydes,5,3,0,1,9
852,curtis blaydes ,8,2,0,0,10
853,curtis millender,1,1,0,0,2
854,curtis millender ,2,1,0,0,3
855,curtis stout,0,2,0,0,2
856,cynthia calvillo,4,2,1,0,7
857,cynthia calvillo ,2,4,0,0,6
858,cyril asker,1,2,0,0,3
859,cyril asker ,1,1,0,0,2
860,cyrille diabate,2,1,0,0,3
861,cyrille diabate ,2,3,0,0,5
862,da woon jung,0,3,0,0,3
863,da woon jung ,0,1,0,0,1
864,da'mon blackshear,1,1,1,0,3
865,da'mon blackshear ,2,2,0,0,4
866,da-un jung,1,0,0,0,1
867,da-un jung ,3,0,1,0,4
868,daichi abe,0,2,0,0,2
869,daichi abe ,1,0,0,0,1
870,daiju takase,0,3,0,0,3
871,dakota bush,0,1,0,0,1
872,dakota bush ,0,1,0,0,1
873,dalcha lungiambula,0,3,0,0,3
874,dalcha lungiambula ,2,2,0,0,4
875,dale hartt,0,2,0,0,2
876,dale hartt ,1,0,0,0,1
877,damacio page,0,2,0,0,2
878,damacio page ,0,1,0,0,1
879,damarques johnson,0,2,0,0,2
880,damarques johnson ,4,4,0,0,8
881,damian grabowski,0,2,0,0,2
882,damian grabowski ,0,1,0,0,1
883,damian stasiak,2,1,0,0,3
884,damian stasiak ,0,3,0,0,3
885,damien brown,1,1,0,0,2
886,damien brown ,1,3,0,0,4
887,damir hadzovic,3,4,0,0,7
888,damir hadzovic ,1,1,0,0,2
889,damir ismagulov,2,1,0,0,3
890,damir ismagulov ,3,1,0,0,4
891,damon jackson,3,5,0,1,9
892,damon jackson ,3,1,1,0,5
893,dan argueta,0,1,0,0,1
894,dan argueta ,1,3,0,1,5
895,dan barrera,0,1,0,0,1
896,dan bobish,0,1,0,0,1
897,dan bobish ,1,0,0,0,1
898,dan christison,0,1,0,0,1
899,dan christison ,1,0,0,0,1
900,dan cramer,0,1,0,0,1
901,dan cramer ,1,0,0,0,1
902,dan evensen,0,2,0,0,2
903,dan hardy,0,2,0,0,2
904,dan hardy ,6,2,0,0,8
905,dan henderson,3,8,0,0,11
906,dan henderson ,6,1,0,0,7
907,dan hooker,7,6,0,0,13
908,dan hooker ,7,2,0,0,9
909,dan ige,3,4,0,0,7
910,dan ige ,7,3,0,0,10
911,dan lauzon,0,3,0,0,3
912,dan miller,1,4,0,0,5
913,dan miller ,5,3,0,0,8
914,dan moret,0,3,0,0,3
915,dan severn,0,3,0,0,3
