Fighter,wins,losses,draws,nc
dalcha lungiambula,2,5,0,0
dale hartt,1,2,0,0
damacio page,0,3,0,0
damarques johnson,4,6,0,0
damian grabowski,0,3,0,0
damian stasiak,2,4,0,0
damien brown,2,4,0,0
damir hadzovic,4,5,0,0
damir ismagulov,5,2,0,0
damon jackson,6,6,1,1
dan argueta,1,4,0,1
dan barrera,0,1,0,0
dan bobish,1,1,0,0
dan christison,1,1,0,0
dan cramer,1,1,0,0
dan evensen,0,2,0,0
dan hardy,6,4,0,0
dan henderson,9,9,0,0
dan hooker,14,8,0,0
dan ige,10,7,0,0
dan lauzon,0,3,0,0
dan miller,6,7,0,0
dan moret,0,3,0,0
dan severn,8,3,0,0
dan stittgen,0,2,0,0
danaa batgerel,3,1,0,0
daniel barez,1,1,0,0
daniel cormier,11,3,0,1
daniel da silva,0,3,0,0
daniel jolly,0,2,0,0
daniel kelly,6,4,0,0
daniel lacerda,0,2,0,1
daniel marcos,4,0,0,1
daniel omielanczuk,4,5,0,0
daniel pineda,5,8,0,1
daniel roberts,3,4,0,0
daniel rodriguez,8,4,0,0
daniel santos,2,1,0,0
daniel sarafian,2,4,0,0
daniel spitz,1,3,0,0
daniel spohn,0,1,0,0
daniel teymur,1,4,0,0
daniel zellhuber,3,2,0,0
danielle taylor,2,3,0,0
danillo villefort,0,1,0,0
danilo belluardo,0,2,0,0
danilo marques,2,2,0,0
danny abbadi,0,2,0,0
danny barlow,2,0,0,0
danny castillo,7,7,0,0
danny chavez,1,2,1,0
danny downes,0,2,0,0
danny henry,2,2,0,0
danny martinez,1,3,0,0
danny mitchell,0,2,0,0
danny roberts,7,7,0,0
danny silva,1,0,0,0
dante rivera,0,1,0,0
danyelle wolf,0,1,0,0
daria zhelezniakova,1,1,0,0
darian weeks,0,3,0,0
darko stosic,1,3,0,0
daron cruickshank,6,6,0,1
darrel gholar,0,1,0,0
darrell horcher,1,3,0,0
darrell montague,0,3,0,0
darren elkins,19,10,0,0
darren stewart,5,7,0,2
darren till,6,5,1,0
darren uyenoyama,2,2,0,0
darrick minner,2,4,0,0
darrill schoonover,0,1,0,0
darrius flowers,0,3,0,0
dashon johnson,0,2,0,0
dave beneteau,3,3,0,0
dave berry,0,1,0,0
dave galera,0,1,0,0
dave herman,1,4,0,0
dave menne,2,4,0,0
dave strasser,1,1,0,0
davey grant,7,6,0,0
davi ramos,4,3,0,0
david abbott,8,10,0,0
david baron,0,1,0,0
david bielkheden,1,2,0,0
david branch,4,5,0,0
david dodd,0,2,0,0
david dvorak,3,3,0,0
david heath,2,3,0,0
david hood,0,1,0,0
david kaplan,0,2,0,0
david lee,0,2,0,0
david levicki,0,1,0,0
david loiseau,4,5,0,0
david michaud,1,2,0,0
david mitchell,1,4,0,0
david onama,5,2,0,0
david roberts,0,1,0,0
david terrell,2,1,0,0
david teymur,5,1,0,0
david velasquez,0,1,0,0
david zawada,1,4,0,0
dean barry,0,1,0,0
dean lister,4,2,0,0
deanna bennett,0,0,1,0
deiveson figueiredo,13,4,1,0
delson heleno,0,1,0,0
demetrious johnson,15,2,1,0
demian maia,22,11,0,0
denis kang,1,2,0,0
denis stojnic,0,2,0,0
denis tiuliulin,1,5,0,0
denise gomes,4,2,0,0
dennis bermudez,10,7,0,0
dennis buzukja,1,3,0,0
dennis hallman,4,5,0,0
dennis siver,12,8,0,1
denys bondar,0,3,0,0
dequan townsend,0,4,0,0
derek brunson,14,7,0,0
derek downey,0,1,0,0
deron winn,2,3,0,0
derrick krantz,0,2,0,0
derrick lewis,19,10,0,0
derrick noble,0,1,0,0
desmond green,4,3,0,0
devin clark,8,9,0,0
devin powell,1,3,0,0
devonte smith,3,3,0,0
dhiego lima,4,7,0,0
diana belbita,2,5,0,0
diego brandao,6,4,0,0
diego ferreira,10,5,0,0
diego lopes,5,1,0,0
diego nunes,3,3,0,0
diego rivas,2,2,0,0
diego sanchez,19,13,0,0
diego saraiva,0,3,0,0
dieusel berto,0,1,0,0
dileno lopes,0,2,0,0
din thomas,5,4,0,0
dione barbosa,1,1,0,0
dmitri stepanov,0,1,0,0
dmitrii smoliakov,0,3,0,0
dmitry sosnovskiy,1,0,0,0
dokonjonosuke mishima,0,2,0,0
domingo pilarte,0,2,0,1
dominic waters,0,3,0,0
dominick cruz,7,3,0,0
dominick reyes,8,4,0,0
dominique steele,1,4,0,0
don frye,9,1,0,0
don madge,2,0,0,0
don shainis,0,2,0,0
