name,nickname,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,wins,losses,draws,nc,total_matches
fabiano iha,,172.72,70.31,,Orthodox,1970-07-28,3,4,0,0,7
anthony hernandez,Fluffy,182.88,83.91,190.5,Orthodox,1993-10-18,7,2,0,0,9
marcus jones,The Darkness,198.12,120.2,,Orthodox,1973-08-15,0,1,0,0,1
tatsuro taira,,170.18,56.7,177.8,Orthodox,2000-01-27,6,1,0,0,7
jason high,The Kansas City Bandit,172.72,70.31,185.42,Southpaw,1981-10-12,2,3,0,0,5
mike nickels,,193.04,92.99,,Orthodox,1971-12-13,1,1,0,0,2
sam patterson,,190.5,70.31,198.12,Orthodox,1996-04-30,2,1,0,0,3
rei tsuruya,,167.64,56.7,172.72,Orthodox,2002-06-22,1,0,0,0,1
yoshiyuki yoshida,Zenko,180.34,77.11,177.8,Southpaw,1974-05-10,2,3,0,0,5
nadia kassem,,165.1,56.7,167.64,Southpaw,1995-11-15,1,2,0,0,3
rinya nakamura,Hybred,170.18,61.23,172.72,Southpaw,1995-03-23,2,0,0,0,2
ron waterman,H20,187.96,127.01,,Orthodox,1965-11-23,2,1,1,0,4
dan lauzon,The Upgrade,177.8,70.31,,Orthodox,1988-03-30,0,3,0,0,3
darrick minner,,170.18,65.77,175.26,Orthodox,1990-04-28,2,4,0,0,6
khamzat chimaev,Borz,187.96,83.91,190.5,Orthodox,1994-05-01,6,0,0,0,6
charles oliveira,Do Bronxs,177.8,70.31,187.96,Orthodox,1989-10-17,23,10,0,1,34
matt horwich,Suave,185.42,83.91,,Orthodox,1978-10-02,0,2,0,0,2
charles mccarthy,Chainsaw,177.8,83.91,180.34,Orthodox,1980-08-06,1,2,0,0,3
julian marquez,The Cuban Missile Crisis,187.96,83.91,182.88,Orthodox,1990-05-08,3,4,0,0,7
allan goes,,182.88,92.99,,Orthodox,1971-04-20,0,1,0,0,1
joseph morales,,167.64,56.7,175.26,Switch,1994-08-22,1,2,0,0,3
nick thompson,The Goat,185.42,77.11,187.96,Orthodox,1981-06-23,1,1,0,0,2
dustin pague,The Disciple,175.26,61.23,187.96,Orthodox,1987-08-05,1,5,0,0,6
renato sobral,Babalu,185.42,92.99,190.5,Orthodox,1975-09-07,6,4,0,0,10
daniel roberts,Ninja,177.8,77.11,187.96,Southpaw,1980-08-05,3,4,0,0,7
keigo kunihara,,182.88,106.59,,Orthodox,,0,1,0,0,1
daniel spohn,Dragon,193.04,92.99,200.66,Southpaw,1984-10-12,0,1,0,0,1
andre petroski,,182.88,83.91,185.42,Switch,1991-06-12,7,2,0,0,9
dave menne,The Warrior,177.8,77.11,,Orthodox,1974-07-29,2,4,0,0,6
renato verissimo,Charuto,185.42,77.11,,Orthodox,1973-08-03,1,2,0,0,3
ken shamrock,The World's Most Dangerous Man,185.42,92.99,182.88,Orthodox,1964-02-11,4,4,0,0,8
dale hartt,,177.8,70.31,175.26,Orthodox,1979-04-04,1,2,0,0,3
thomas petersen,The Train,185.42,119.75,187.96,Southpaw,1995-03-30,1,1,0,0,2
tom murphy,,187.96,102.97,,Southpaw,1974-11-19,1,0,0,0,1
