name,nickname,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,wins,losses,draws,nc,total_matches
roosevelt roberts,The Predator,187.96,70.31,185.42,Orthodox,1994-02-11,4,5,0,1,10
maurice smith,,187.96,100.24,,Orthodox,1961-12-13,4,3,0,0,7
glover teixeira,,187.96,92.99,193.04,Orthodox,1979-10-28,16,7,0,0,23
matheus nicolau,,167.64,56.7,167.64,Orthodox,1993-01-06,7,4,0,0,11
james krause,The,187.96,77.11,185.42,Orthodox,1986-06-04,9,4,0,0,13
roger narvaez,Silverback,190.5,83.91,,Southpaw,1983-09-09,1,2,0,0,3
umar nurmagomedov,,172.72,61.23,175.26,Orthodox,1996-01-03,6,0,0,0,6
irina alekseeva,Russian Ronda,172.72,61.23,170.18,Orthodox,1990-06-27,1,1,0,0,2
chris spang,The Kiss,187.96,77.11,,Orthodox,1987-11-26,0,1,0,0,1
tony ferguson,El Cucuy,180.34,70.31,193.04,Orthodox,1984-02-12,15,9,0,0,24
carmelo marrero,The Fury,182.88,92.99,185.42,Orthodox,1981-01-26,1,3,0,0,4
roger bowling,Relentless,175.26,70.31,172.72,Orthodox,1982-12-05,0,2,0,1,3
ildemar alcantara,Marajo,187.96,83.91,198.12,Orthodox,1982-11-18,4,3,0,0,7
ricardo lamas,The Bully,172.72,65.77,180.34,Orthodox,1982-05-21,11,6,0,0,17
marlon vera,Chito,172.72,61.23,177.8,Switch,1992-12-02,15,9,0,0,24
alex karalexis,The Assassin,172.72,70.31,167.64,Orthodox,1977-09-20,1,2,0,0,3
curt warburton,,182.88,70.31,185.42,Orthodox,,1,2,0,0,3
matt frevola,The SteamRolla,175.26,70.31,180.34,Orthodox,1990-06-11,5,5,1,0,11
blake bilder,El Animal,172.72,65.77,172.72,Switch,1990-07-12,1,2,0,0,3
tonya evinger,Triple Threat,170.18,61.23,177.8,Orthodox,1981-06-04,0,3,0,0,3
mike wilkinson,The Warrior,170.18,65.77,167.64,Orthodox,1987-09-15,2,2,0,0,4
diego rivas,Pitbull,172.72,65.77,175.26,Orthodox,1991-11-11,2,2,0,0,4
mark hominick,The Machine,172.72,65.77,172.72,Orthodox,1982-07-22,3,4,0,0,7
rick story,The Horror,175.26,77.11,180.34,Southpaw,1984-08-28,12,7,0,0,19
garreth mclellan,Soldier Boy,185.42,83.91,182.88,Southpaw,1982-09-01,1,4,0,0,5
mariya agapova,Demonslayer,167.64,56.7,172.72,Southpaw,1997-04-07,2,4,0,0,6
tim hague,The Trashing Machine,193.04,117.93,193.04,Orthodox,1983-05-09,1,4,0,0,5
masanori kanehara,,170.18,61.23,170.18,Orthodox,1982-11-19,1,2,0,0,3
tatiana suarez,,165.1,52.16,167.64,Southpaw,1990-12-19,7,0,0,0,7
luigi fioravanti,,172.72,77.11,177.8,Orthodox,1981-01-22,4,5,0,0,9
carlos newton,The Ronin,175.26,77.11,,Orthodox,1976-08-17,3,4,0,0,7
danilo marques,,198.12,92.99,195.58,Orthodox,1985-12-26,2,2,0,0,4
renzo gracie,,177.8,83.91,,Orthodox,1967-03-11,0,1,0,0,1
stephanie egger,,167.64,61.23,172.72,Orthodox,1988-08-12,3,4,0,0,7
austin springer,,172.72,65.77,180.34,Orthodox,1987-05-12,0,1,0,0,1
iuri alcantara,Marajo,175.26,61.23,180.34,Southpaw,1980-08-04,10,7,0,1,18
da'mon blackshear,The Monster,177.8,61.23,182.88,Switch,1994-08-12,3,3,1,0,7
spencer fisher,The King,170.18,70.31,172.72,Southpaw,1976-05-09,9,8,0,0,17
kurt pellegrino,Batman,172.72,70.31,177.8,Orthodox,1979-05-07,7,5,0,0,12
trey ogden,Samurai Ghost,180.34,70.31,182.88,Orthodox,1989-11-14,3,2,0,1,6
anderson silva,The Spider,187.96,83.91,195.58,Southpaw,1975-04-14,17,7,0,1,25
carlston harris,Mocambique,182.88,77.11,193.04,Orthodox,1987-07-09,4,2,0,0,6
jorge santiago,The Sandman,185.42,77.11,190.5,Orthodox,1980-10-09,1,5,0,0,6
gleison tibau,,177.8,70.31,180.34,Southpaw,1983-10-07,16,12,0,0,28
josh shockley,,185.42,70.31,,Orthodox,1989-11-15,0,2,0,0,2
mark coleman,The Hammer,185.42,92.99,190.5,Orthodox,1964-12-20,7,5,0,0,12
sarah moras,Cheesecake,170.18,61.23,170.18,Orthodox,1988-04-30,3,6,0,0,9
chris cariaso,Kamikaze,160.02,56.7,162.56,Southpaw,1981-05-27,7,6,0,0,13
rogerio nogueira,Minotouro,187.96,92.99,190.5,Southpaw,1976-06-02,6,7,0,0,13
russell doane,,170.18,61.23,177.8,Orthodox,1986-08-13,3,5,0,0,8
rony jason,,170.18,65.77,185.42,Orthodox,1984-03-21,4,4,0,1,9
maki pitolo,Coconut Bombz,177.8,83.91,190.5,Orthodox,1990-11-24,1,5,0,0,6
joanderson brito,Tubarao,172.72,65.77,182.88,Orthodox,1995-02-11,5,2,0,0,7
zhang lipeng,The Warrior,180.34,70.31,180.34,Southpaw,1990-03-10,2,2,0,0,4
francisco prado,,177.8,70.31,175.26,Orthodox,2002-06-16,1,2,0,0,3
amanda lemos,,162.56,52.16,165.1,Southpaw,1987-05-22,8,4,0,0,12
jamie varner,,172.72,70.31,180.34,Orthodox,1984-10-12,3,6,0,0,9
seth baczynski,The Polish Pistola,190.5,77.11,190.5,Orthodox,1981-10-26,5,6,0,0,11
jonathan pearce,JSP,182.88,65.77,180.34,Switch,1992-05-01,5,4,0,0,9
kenny robertson,,177.8,77.11,187.96,Orthodox,1984-02-14,4,5,0,0,9
montserrat conejo ruiz,,152.4,52.16,154.94,Southpaw,1993-02-03,0,2,0,0,2
khabib nurmagomedov,The Eagle,177.8,70.31,177.8,Orthodox,1988-09-20,13,0,0,0,13
gary goodridge,Big Daddy,190.5,112.94,,Orthodox,1966-01-17,4,4,0,0,8
justin buchholz,,182.88,70.31,185.42,Orthodox,1983-08-22,1,4,0,0,5
malcolm gordon,X,170.18,56.7,180.34,Switch,1990-05-19,2,5,0,0,7
joseph gigliotti,Capo,180.34,83.91,,Orthodox,1993-08-13,0,2,0,0,2
liang na,The Dragon Girl,165.1,56.7,170.18,Orthodox,1996-07-27,0,2,0,0,2
mike stumpf,,177.8,77.11,,,,0,2,0,0,2
aljamain sterling,Funk Master,170.18,61.23,180.34,Orthodox,1989-07-31,16,5,0,0,21
kevin randleman,The Monster,177.8,92.99,,Orthodox,1971-08-10,4,3,0,0,7
rory singer,Outburst,187.96,83.91,195.58,Orthodox,1976-05-28,2,2,0,0,4
alex andrade,El Toro,180.34,90.72,,Orthodox,1974-05-14,0,1,0,0,1
antonio silva,Bigfoot,193.04,119.75,208.28,Orthodox,1979-09-14,3,7,1,0,11
nate marquardt,The Great,182.88,83.91,187.96,Orthodox,1979-04-20,13,12,0,0,25
kevin burns,The Fire,177.8,77.11,187.96,Orthodox,1980-03-03,2,3,0,0,5
vinny magalhaes,Pezao,190.5,92.99,190.5,Orthodox,1984-07-02,1,4,0,0,5
frank trigg,Twinkle Toes,175.26,77.11,180.34,Southpaw,1972-05-07,2,5,0,0,7
montana de la rosa,,170.18,56.7,172.72,Orthodox,1995-02-14,6,5,1,0,12
cynthia calvillo,,162.56,52.16,162.56,Orthodox,1987-07-13,6,6,1,0,13
brock jardine,The Machine,180.34,77.11,,Orthodox,1985-07-10,0,2,0,0,2
cameron saaiman,MSP,172.72,61.23,170.18,Southpaw,2000-12-20,3,2,0,0,5
cat zingano,Alpha,167.64,65.77,172.72,Southpaw,1982-07-01,3,4,0,0,7
trey waters,The Truth,195.58,77.11,195.58,Orthodox,1995-02-21,2,0,0,0,2
efrain escudero,Hecho En Mexico,175.26,70.31,180.34,Orthodox,1986-01-15,5,7,0,0,12
john allan,,185.42,92.99,190.5,Orthodox,1993-02-22,0,2,0,1,3
royce gracie,,185.42,79.38,,Southpaw,1966-12-12,8,1,0,0,9
james head,,185.42,77.11,185.42,Orthodox,1984-02-09,2,3,0,0,5
jessica rakoczy,The Ragin',170.18,52.16,,Orthodox,1977-04-14,0,2,0,0,2
kevin lee,The Motown Phenom,175.26,77.11,195.58,Orthodox,1992-09-04,11,8,0,0,19
naoyuki kotani,,172.72,70.31,167.64,Southpaw,1981-12-08,0,5,0,0,5
joseph holmes,Uglyman Joe,193.04,83.91,203.2,Orthodox,1995-07-04,1,3,0,0,4
dashon johnson,Flyboy,170.18,65.77,,Orthodox,1988-01-25,0,2,0,0,2
domingo pilarte,Son of Fire,182.88,61.23,185.42,Southpaw,1990-01-05,0,2,0,1,3
takanori gomi,The Fireball Kid,170.18,70.31,177.8,Southpaw,1978-09-22,4,9,0,0,13
tj dillashaw,,167.64,61.23,170.18,Orthodox,1986-02-07,13,5,0,0,18
denise gomes,Dee,157.48,52.16,160.02,Orthodox,1999-12-30,4,2,0,0,6
derrick krantz,D-Rock,177.8,77.11,182.88,Orthodox,1988-01-13,0,2,0,0,2
gregor gillespie,The Gift,170.18,70.31,180.34,Orthodox,1986-11-13,7,1,0,0,8
tim boetsch,The Barbarian,182.88,83.91,187.96,Orthodox,1981-01-28,12,12,0,0,24
mike kyle,MAK,193.04,92.99,195.58,Orthodox,1980-03-31,2,1,0,0,3
marion reneau,The Belizean Bruiser,167.64,61.23,172.72,Orthodox,1977-06-20,5,7,1,0,13
kleydson rodrigues,KR,165.1,61.23,170.18,Orthodox,1995-10-22,1,3,0,0,4
jenel lausa,,165.1,56.7,172.72,Orthodox,1988-08-01,1,3,0,0,4
rachael ostovich,,160.02,56.7,157.48,Orthodox,1991-02-25,1,3,0,0,4
zabit magomedsharipov,,185.42,65.77,185.42,Orthodox,1991-03-01,6,0,0,0,6
kay hansen,,157.48,52.16,160.02,Orthodox,1999-08-14,1,3,0,0,4
jon fitch,,182.88,77.11,187.96,Orthodox,1978-02-24,14,3,1,0,18
felice herrig,Lil Bulldog,162.56,52.16,165.1,Orthodox,1984-09-18,5,5,0,0,10
joey gambino,The Raging Warrior,170.18,65.77,,Orthodox,1988-10-26,0,2,0,0,2
kyung ho kang,Mr. Perfect,175.26,61.23,185.42,Orthodox,1987-09-09,8,5,0,1,14
benson henderson,Smooth,175.26,77.11,177.8,Southpaw,1983-11-16,11,3,0,0,14
chris weidman,The All-American,187.96,83.91,198.12,Orthodox,1984-06-17,12,8,0,0,20
bryan caraway,Kid Lightning,172.72,61.23,172.72,Orthodox,1984-08-04,6,4,0,0,10
amanda ribas,,160.02,52.16,167.64,Orthodox,1993-08-26,7,4,0,0,11
reginaldo vieira,,170.18,61.23,165.1,Orthodox,1982-11-26,1,2,0,0,3
tamires vidal,Tractor,167.64,61.23,172.72,Orthodox,1998-07-27,1,3,0,0,4
antonio carlos junior,Cara de Sapato,187.96,83.91,200.66,Orthodox,1990-03-16,7,5,0,1,13
craig white,The Thundercat,187.96,77.11,193.04,Orthodox,1990-07-01,0,2,0,0,2
urijah faber,The California Kid,167.64,61.23,170.18,Orthodox,1979-05-14,11,7,0,0,18
chad anheliger,The Monster,167.64,61.23,162.56,Orthodox,1986-12-01,2,3,0,0,5
diego sanchez,Nightmare,177.8,77.11,182.88,Southpaw,1981-12-31,19,13,0,0,32
chris leben,The Crippler,180.34,83.91,185.42,Southpaw,1980-07-21,12,10,0,0,22
julianna pena,The Venezuelan Vixen,167.64,61.23,175.26,Orthodox,1989-08-19,8,3,0,0,11
katsunori kikuno,,172.72,65.77,167.64,Orthodox,1981-10-31,2,3,0,0,5
wellington turman,The Prodigy,182.88,77.11,182.88,Orthodox,1996-07-22,3,6,0,0,9
kyle noke,,185.42,77.11,193.04,Southpaw,1980-03-18,6,6,0,0,12
kanako murata,,154.94,52.16,157.48,Orthodox,1993-08-10,1,2,0,0,3
alistair overeem,The Demolition Man,193.04,120.2,203.2,Orthodox,1980-05-17,12,8,0,0,20
john teixeira,Macapa,170.18,65.77,,Orthodox,1986-11-18,0,1,0,0,1
tony sims,,180.34,70.31,177.8,Southpaw,1985-10-14,1,2,0,0,3
renato moicano,,180.34,70.31,182.88,Orthodox,1989-05-21,12,5,0,0,17
khama worthy,The Death Star,180.34,70.31,187.96,Orthodox,1986-10-15,2,3,0,0,5
jack shore,Tank,172.72,61.23,180.34,Orthodox,1995-02-06,6,3,0,0,9
felipe arantes,Sertanejo,172.72,61.23,185.42,Orthodox,1988-02-09,5,6,1,0,12
claudia gadelha,Claudinha,162.56,52.16,160.02,Orthodox,1988-12-07,7,5,0,0,12
joaquim silva,Netto BJJ,172.72,70.31,175.26,Southpaw,1989-02-05,6,5,0,0,11
george sullivan,The Silencer,182.88,77.11,185.42,Orthodox,1981-03-13,3,4,0,0,7
ramazan emeev,Gorets,177.8,77.11,193.04,Southpaw,1987-05-23,5,3,0,0,8
yair rodriguez,El Pantera,180.34,65.77,180.34,Orthodox,1992-10-06,10,4,0,1,15
scott jorgensen,Young Guns,165.1,61.23,167.64,Orthodox,1982-09-17,4,8,0,0,12
casey o'neill,King,167.64,56.7,175.26,Orthodox,1997-10-07,5,2,0,0,7
ian freeman,The Machine,180.34,102.06,,Orthodox,1966-11-10,3,2,1,0,6
diego saraiva,The Octopus,167.64,70.31,,Orthodox,1982-04-23,0,3,0,0,3
alexis davis,,167.64,61.23,172.72,Orthodox,1984-10-04,8,6,0,0,14
brian camozzi,Mantis,187.96,77.11,198.12,Orthodox,1991-06-24,0,3,0,0,3
lucie pudilova,,172.72,61.23,170.18,Orthodox,1994-06-13,3,8,0,0,11
ricardo ramos,,175.26,65.77,182.88,Orthodox,1995-08-01,8,5,0,0,13
matt mitrione,,190.5,120.2,208.28,Switch,1978-07-15,9,5,0,0,14
joe duffy,Irish,177.8,70.31,185.42,Orthodox,1988-02-18,4,4,0,0,8
anderson dos santos,Berinja,165.1,61.23,177.8,Orthodox,1985-07-24,1,3,0,0,4
milton vieira,Miltinho,182.88,65.77,,Orthodox,1978-10-04,0,1,1,0,2
david kaplan,Diamond,170.18,70.31,,Orthodox,1979-11-16,0,2,0,0,2
amanda nunes,The Lioness,172.72,61.23,175.26,Orthodox,1988-05-30,16,2,0,0,18
robert sanchez,Littlefury,167.64,56.7,167.64,Orthodox,1986-03-05,1,2,0,0,3
rich franklin,Ace,185.42,83.91,193.04,Southpaw,1974-10-05,14,6,0,0,20
manvel gamburyan,The Anvil,165.1,61.23,170.18,Orthodox,1981-05-08,6,8,0,1,15
don madge,Magic Man,182.88,70.31,182.88,Southpaw,1990-11-12,2,0,0,0,2
brad scott,Bear,185.42,77.11,193.04,Orthodox,1989-06-24,3,5,0,0,8
mandy bohm,Monster,170.18,56.7,180.34,Orthodox,1989-07-30,1,2,0,0,3
michelle waterson-gomez,The Karate Hottie,160.02,52.16,157.48,Orthodox,1986-01-06,0,4,0,0,4
rafael estevam,Macapa,172.72,56.7,175.26,Orthodox,1996-08-10,1,0,0,0,1
matt sayles,,170.18,70.31,172.72,Orthodox,1994-02-21,1,3,0,0,4
mauricio rua,Shogun,185.42,92.99,193.04,Orthodox,1981-11-25,11,12,1,0,24
steven peterson,Ocho,177.8,65.77,177.8,Orthodox,1990-05-29,3,5,0,0,8
amir albazi,The Prince,165.1,56.7,172.72,Orthodox,1993-10-27,5,1,0,0,6
niklas stolze,Green Mask,185.42,70.31,187.96,Switch,1992-12-28,0,3,0,0,3
darren uyenoyama,BC,167.64,56.7,165.1,Orthodox,1979-10-15,2,2,0,0,4
drew mcfedries,The Massacre,182.88,83.91,182.88,Southpaw,1978-07-27,4,5,0,0,9
niko price,The Hybrid,182.88,77.11,193.04,Orthodox,1989-09-29,8,8,0,2,18
marcio alexandre junior,Lyoto,182.88,83.91,190.5,Southpaw,1989-05-05,0,3,0,0,3
alex caceres,Bruce Leeroy,177.8,65.77,185.42,Southpaw,1988-06-20,16,12,0,1,29
trevor smith,Hot Sauce,190.5,83.91,190.5,Orthodox,1981-01-05,5,7,0,0,12
daniel sarafian,,175.26,83.91,185.42,Orthodox,1982-08-21,2,4,0,0,6
heath herring,The Texas Crazy Horse,193.04,113.4,198.12,Orthodox,1978-03-02,2,3,0,0,5
viviane araujo,Vivi,162.56,56.7,172.72,Orthodox,1986-11-21,7,5,0,0,12
dustin stoltzfus,,182.88,83.91,190.5,Orthodox,1991-11-15,3,5,0,0,8
francis marshall,Fire,175.26,65.77,182.88,Orthodox,1999-03-03,2,2,0,0,4
phillipe nover,The Filipino Assassin,175.26,65.77,182.88,Orthodox,1984-02-03,1,6,0,0,7
chris heatherly,Stump,175.26,70.31,,Orthodox,1987-11-24,0,2,0,0,2
rodrigo nascimento,Ze Colmeia,187.96,111.58,203.2,Orthodox,1992-11-26,5,3,0,0,8
brandon thatch,Rukus,187.96,77.11,187.96,Switch,1985-07-11,2,4,0,0,6
william gomis,Jaguar,182.88,65.77,185.42,Southpaw,1997-06-13,4,0,0,0,4
mike russow,,185.42,115.67,185.42,Orthodox,1976-09-11,4,2,0,0,6
buddy roberts,,187.96,83.91,,Orthodox,1982-10-17,1,1,0,0,2
drako rodriguez,,172.72,61.23,175.26,Orthodox,1996-06-16,0,2,0,0,2
vinicius queiroz,Spartan,200.66,99.79,,Orthodox,1983-08-29,0,1,0,0,1
tereza bleda,,175.26,56.7,180.34,Orthodox,2001-11-30,1,1,0,0,2
forrest griffin,,190.5,92.99,195.58,Orthodox,1979-03-16,10,5,0,0,15
don frye,The Predator,185.42,99.34,,Orthodox,1965-11-23,9,1,0,0,10
junior assuncao,,175.26,65.77,182.88,Orthodox,1981-06-24,2,3,0,0,5
reuben duran,,170.18,61.23,180.34,Orthodox,1983-07-02,1,3,0,0,4
gray maynard,,175.26,70.31,177.8,Orthodox,1979-05-09,11,7,1,1,20
james vick,The Texecutioner,190.5,70.31,193.04,Orthodox,1987-02-23,9,5,0,0,14
brian kelleher,Boom,167.64,61.23,167.64,Switch,1986-08-19,8,9,0,0,17
diego ferreira,,175.26,70.31,187.96,Orthodox,1985-01-18,10,5,0,0,15
alex stiebling,The Brazilian Killa,187.96,92.99,,Southpaw,,0,1,0,0,1
scott askham,,190.5,83.91,190.5,Southpaw,1988-05-20,2,4,0,0,6
kalindra faria,,170.18,56.7,,Switch,1986-07-23,0,3,0,0,3
keith jardine,The Dean of Mean,187.96,83.91,193.04,Orthodox,1975-10-31,6,7,0,0,13
david michaud,BullDawg,175.26,70.31,,Orthodox,1988-11-10,1,2,0,0,3
luana carolina,Dread,167.64,56.7,175.26,Orthodox,1993-06-11,6,3,0,0,9
travis lutter,The Serial Killer,180.34,83.91,190.5,Orthodox,1973-05-12,2,4,0,0,6
anthony smith,Lionheart,193.04,92.99,193.04,Orthodox,1988-07-26,12,11,0,0,23
john polakowski,Buckets of Blood,177.8,70.31,,Orthodox,1981-06-21,0,1,0,0,1
vicente luque,The Silent Assassin,180.34,77.11,190.5,Orthodox,1991-11-27,16,6,0,0,22
david baron,,167.64,70.31,,Switch,1973-02-15,0,1,0,0,1
ricardo abreu,Demente,180.34,83.91,,Orthodox,1984-04-27,1,1,0,0,2
damarques johnson,Darkness,185.42,77.11,190.5,Orthodox,1982-06-28,4,6,0,0,10
darrell horcher,The Saint,177.8,70.31,177.8,Southpaw,1987-07-28,1,3,0,0,4
kyle nelson,The Monster,180.34,65.77,180.34,Switch,1991-04-20,4,5,1,0,10
damien brown,Beatdown,177.8,70.31,172.72,Orthodox,1984-12-25,2,4,0,0,6
tim kennedy,,180.34,83.91,187.96,Orthodox,1979-09-01,3,2,0,0,5
gustavo lopez,,165.1,61.23,170.18,Orthodox,1989-06-27,1,2,1,0,4
yves edwards,,175.26,70.31,185.42,Southpaw,1976-09-30,10,10,0,1,21
maryna moroz,Iron Lady,170.18,56.7,170.18,Orthodox,1991-09-08,6,6,0,0,12
thiago silva,,187.96,92.99,187.96,Orthodox,1982-11-12,7,3,0,2,12
brad blackburn,Bad Brad,177.8,77.11,185.42,Orthodox,1977-05-25,3,2,0,0,5
yancy medeiros,,177.8,70.31,190.5,Orthodox,1987-09-07,6,8,0,1,15
ian heinisch,The Hurricane,180.34,83.91,182.88,Orthodox,1988-08-05,3,4,0,0,7
steve cantwell,The Robot,187.96,83.91,190.5,Orthodox,1986-12-08,1,5,0,0,6
vanessa demopoulos,Lil Monster,157.48,52.16,149.86,Orthodox,1988-09-22,5,3,0,0,8
jeff monson,The Snowman,175.26,112.04,187.96,Orthodox,1971-01-18,4,3,0,0,7
guto inocente,,190.5,92.99,,Orthodox,1986-05-29,0,2,0,0,2
leo kuntz,The Lion,177.8,70.31,,Orthodox,1983-10-03,0,2,0,0,2
devin powell,,182.88,70.31,185.42,Orthodox,1988-03-01,1,3,0,0,4
marcus levesseur,The Prospect,175.26,70.31,177.8,Southpaw,1982-07-17,1,2,0,0,3
vitor belfort,The Phenom,182.88,83.91,187.96,Southpaw,1977-04-01,15,10,0,1,26
tito ortiz,The People's Champ,190.5,92.99,187.96,Orthodox,1975-01-23,15,11,1,0,27
francisco rivera,Cisco,172.72,61.23,177.8,Orthodox,1981-10-08,4,6,0,1,11
jarred brooks,The Monkey God,160.02,56.7,157.48,Switch,1993-05-02,2,2,0,0,4
diego nunes,The Gun,167.64,65.77,170.18,Orthodox,1982-11-30,3,3,0,0,6
joseph benavidez,,162.56,56.7,165.1,Southpaw,1984-07-31,15,6,0,0,21
bryan battle,Pooh Bear,185.42,77.11,195.58,Orthodox,1994-09-21,7,1,0,1,9
mike lullo,,172.72,65.77,,Orthodox,1979-07-24,0,2,0,0,2
doug evans,,175.26,70.31,,Orthodox,1980-10-10,0,2,0,0,2
chris tuchscherer,The Crowbar,187.96,117.03,193.04,Orthodox,1975-09-08,1,3,0,0,4
jessica penne,,165.1,52.16,170.18,Orthodox,1983-01-30,3,6,0,0,9
geane herrera,La Pulga,165.1,56.7,167.64,Orthodox,1990-05-27,1,3,0,0,4
nick aguirre,Slick,175.26,61.23,187.96,Southpaw,1996-01-15,0,2,0,0,2
julia polastri,The Dragon,157.48,52.16,160.02,Orthodox,1998-03-05,1,1,0,0,2
joe riggs,Diesel,182.88,83.91,177.8,Southpaw,1982-09-23,5,7,0,0,12
jonathan goulet,The Road Warrior,182.88,77.11,185.42,Orthodox,1979-07-13,4,5,0,0,9
ebenezer fontes braga,Pitbull,182.88,90.26,,Orthodox,1969-04-14,1,0,0,0,1
luigi vendramini,The Italian Stallion,172.72,70.31,185.42,Orthodox,1996-01-16,1,3,0,0,4
jeka saragih,,172.72,65.77,175.26,Orthodox,1995-01-01,1,2,0,0,3
clay guida,The Carpenter,170.18,70.31,177.8,Orthodox,1981-12-08,18,19,0,0,37
chepe mariscal,Machine Gun,170.18,65.77,175.26,Orthodox,1992-10-27,4,0,0,0,4
phil davis,Mr. Wonderful,187.96,92.99,200.66,Orthodox,1984-09-25,9,3,0,1,13
kalib starnes,,190.5,83.91,187.96,Orthodox,1975-01-06,2,3,0,0,5
kazuhiro nakamura,Kaz,180.34,92.99,177.8,Orthodox,1979-07-16,0,2,0,0,2
phillip miller,,180.34,83.91,,Orthodox,1979-02-20,2,0,0,0,2
edgar garcia,,177.8,77.11,180.34,Orthodox,1984-02-22,0,4,0,0,4
kuniyoshi hironaka,,177.8,76.2,177.8,Orthodox,1976-06-17,1,3,0,0,4
raquel pennington,Rocky,170.18,61.23,170.18,Orthodox,1988-09-05,13,6,0,0,19
kyler phillips,The Matrix,172.72,61.23,182.88,Orthodox,1995-06-12,6,2,0,0,8
chan sung jung,The Korean Zombie,170.18,65.77,182.88,Orthodox,1987-03-17,7,4,0,0,11
igor araujo,,185.42,77.11,195.58,Orthodox,1980-12-06,2,2,0,0,4
shanna young,The Shanimal,170.18,56.7,165.1,Orthodox,1991-02-20,1,3,0,0,4
kailin curran,,162.56,52.16,165.1,Orthodox,1991-04-11,1,6,0,0,7
mark munoz,The Filipino Wrecking Machine,182.88,83.91,180.34,Orthodox,1978-02-09,9,6,0,0,15
derek brunson,The One,185.42,83.91,195.58,Southpaw,1984-01-04,14,7,0,0,21
michel prazeres,Tractor,167.64,77.11,170.18,Orthodox,1981-07-25,10,4,0,0,14
tj grant,,177.8,70.31,182.88,Orthodox,1984-02-26,8,3,0,0,11
ashley yoder,SpiderMonkey,170.18,52.16,175.26,Southpaw,1987-10-20,3,8,0,0,11
jake collier,The Prototype,190.5,104.33,198.12,Orthodox,1988-10-25,5,9,0,0,14
aspen ladd,,167.64,61.23,167.64,Orthodox,1995-03-01,4,3,0,0,7
payton talbott,,177.8,61.23,177.8,Switch,1998-09-09,3,0,0,0,3
john lineker,Hands of Stone,160.02,61.23,170.18,Orthodox,1990-06-12,12,4,0,0,16
philip de fries,,195.58,113.4,200.66,Orthodox,1986-04-21,2,3,0,0,5
davi ramos,Tasmanian Devil,167.64,70.31,177.8,Orthodox,1986-11-05,4,3,0,0,7
edmen shahbazyan,The Golden Boy,187.96,83.91,190.5,Orthodox,1997-11-20,6,5,0,0,11
victor henry,La Mangosta,170.18,61.23,172.72,Switch,1987-05-04,3,2,0,0,5
fernie garcia,,170.18,61.23,170.18,Orthodox,1992-04-12,0,3,0,0,3
brendan o'reilly,Badger,170.18,77.11,175.26,Orthodox,1987-06-24,1,3,0,0,4
dong hyun kim,Stun Gun,187.96,77.11,193.04,Southpaw,1981-11-17,13,4,0,1,18
edwin figueroa,El Feroz,170.18,61.23,175.26,Orthodox,1984-07-31,2,4,0,0,6
damian stasiak,Webster,165.1,61.23,177.8,Orthodox,1990-02-20,2,4,0,0,6
julian erosa,Juicy J,185.42,65.77,187.96,Southpaw,1989-07-31,8,7,0,0,15
stevie ray,Braveheart,177.8,70.31,177.8,Southpaw,1990-03-25,7,4,0,0,11
wanderlei silva,The Axe Murderer,180.34,92.99,187.96,Orthodox,1976-07-03,5,7,0,0,12
rose namajunas,Thug,165.1,56.7,165.1,Orthodox,1992-06-29,11,6,0,0,17
mike swick,Quick,185.42,77.11,195.58,Orthodox,1979-06-19,10,5,0,0,15
dhiego lima,,187.96,77.11,190.5,Orthodox,1989-01-31,4,7,0,0,11
jake matthews,The Celtic Kid,180.34,77.11,185.42,Orthodox,1994-08-19,13,7,0,0,20
andrea lee,KGB,167.64,56.7,175.26,Orthodox,1989-02-11,5,8,0,0,13
jose quinonez,Teco,172.72,61.23,175.26,Southpaw,1990-07-28,5,4,0,0,9
diego brandao,DB,170.18,65.77,162.56,Orthodox,1987-05-27,6,4,0,0,10
ketlen vieira,Fenomeno,172.72,61.23,172.72,Orthodox,1991-08-26,8,4,0,0,12
ivan jorge,Batman,175.26,70.31,185.42,Orthodox,1980-11-07,2,2,0,0,4
lavar johnson,Big,193.04,108.86,208.28,Orthodox,1977-06-11,2,2,0,0,4
ken stone,,172.72,61.23,180.34,Southpaw,1982-10-08,2,2,0,0,4
francis carmont,Limitless,190.5,92.99,198.12,Orthodox,1981-10-11,6,3,0,0,9
lukasz brzeski,The Bull,193.04,107.05,198.12,Orthodox,1992-05-17,1,4,0,0,5
hatsu hioki,,180.34,65.77,185.42,Orthodox,1983-07-18,3,5,0,0,8
zak cummings,,182.88,92.99,190.5,Southpaw,1984-08-02,10,4,0,0,14
albert duraev,,180.34,83.91,190.5,Orthodox,1989-01-05,2,2,0,0,4
melquizael costa,Melk Cauthy,177.8,70.31,180.34,Southpaw,1996-09-14,2,2,0,0,4
kevin jordan,The Shaman,190.5,111.13,,Orthodox,1970-12-31,0,2,0,0,2
fabio maldonado,Caipira de Aco,185.42,92.99,190.5,Orthodox,1980-03-17,5,6,0,0,11
sumudaerji,The Tibetan Eagle,172.72,56.7,182.88,Southpaw,1996-01-20,3,4,0,0,7
henry briones,Bure,172.72,61.23,175.26,Orthodox,1980-10-22,1,4,0,0,5
rafael dos anjos,,172.72,77.11,177.8,Southpaw,1984-10-26,21,14,0,0,35
alex oliveira,Cowboy,180.34,77.11,193.04,Orthodox,1988-02-21,11,10,0,1,22
