name,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,wins,losses,draws,nc,total_matches
nadia kassem,165.1,56.7,167.64,Southpaw,1995-11-15,1,2,0,0,3
rinya nakamura,170.18,61.23,172.72,Southpaw,1995-03-23,2,0,0,0,2
ron waterman,187.96,127.01,,Orthodox,1965-11-23,2,1,1,0,4
dan lauzon,177.8,70.31,,Orthodox,1988-03-30,0,3,0,0,3
darrick minner,170.18,65.77,175.26,Orthodox,1990-04-28,2,4,0,0,6
khamzat chimaev,187.96,83.91,190.5,Orthodox,1994-05-01,6,0,0,0,6
charles oliveira,177.8,70.31,187.96,Orthodox,1989-10-17,23,10,0,1,34
matt horwich,185.42,83.91,,Orthodox,1978-10-02,0,2,0,0,2
charles mccarthy,177.8,83.91,180.34,Orthodox,1980-08-06,1,2,0,0,3
julian marquez,187.96,83.91,182.88,Orthodox,1990-05-08,3,4,0,0,7
allan goes,182.88,92.99,,Orthodox,1971-04-20,0,1,0,0,1
joseph morales,167.64,56.7,175.26,Switch,1994-08-22,1,2,0,0,3
nick thompson,185.42,77.11,187.96,Orthodox,1981-06-23,1,1,0,0,2
dustin pague,175.26,61.23,187.96,Orthodox,1987-08-05,1,5,0,0,6
renato sobral,185.42,92.99,190.5,Orthodox,1975-09-07,6,4,0,0,10
daniel roberts,177.8,77.11,187.96,Southpaw,1980-08-05,3,4,0,0,7
keigo kunihara,182.88,106.59,,Orthodox,,0,1,0,0,1
daniel spohn,193.04,92.99,200.66,Southpaw,1984-10-12,0,1,0,0,1
andre petroski,182.88,83.91,185.42,Switch,1991-06-12,7,2,0,0,9
dave menne,177.8,77.11,,Orthodox,1974-07-29,2,4,0,0,6
renato verissimo,185.42,77.11,,Orthodox,1973-08-03,1,2,0,0,3
ken shamrock,185.42,92.99,182.88,Orthodox,1964-02-11,4,4,0,0,8
dale hartt,177.8,70.31,175.26,Orthodox,1979-04-04,1,2,0,0,3
thomas petersen,185.42,119.75,187.96,Southpaw,1995-03-30,1,1,0,0,2
tom murphy,187.96,102.97,,Southpaw,1974-11-19,1,0,0,0,1
