name,nickname,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth
Jean Silva,Lord Assassin,170.18,65.77,175.26,Orthodox,1996-12-13
Larry Cureton,,187.96,108.86,,Orthodox,
Jansey Silva,Jones,187.96,83.91,170.18,Orthodox,1995-05-30
Brad Tavares,,185.42,83.91,187.96,Orthodox,1987-12-21
Sumit Kumar,The Indian Kid,165.1,56.7,167.64,Orthodox,2000-09-09
Yuhi Sano,,180.34,110.22,,Orthodox,1965-02-02
Chris Brown,,,77.11,,,
Nick Fiore,,177.8,70.31,182.88,Orthodox,1997-12-10
Andy Anderson,The Hammer,167.64,108.86,,,
Fabiola Pidroni,The Queen,,52.16,,,
Satoshi Honma,,185.42,92.99,,Orthodox,1968-05-19
Eduardo Garagorri,,175.26,65.77,177.8,Orthodox,1989-05-28
Bruno Oliveira,,193.04,92.99,203.2,Orthodox,1984-05-02
Rolles Gracie,,193.04,109.77,,Orthodox,1978-07-14
Emily Fernandez,,,,,,
Lacey Schuckman,,160.02,56.7,,,
Ottman Azaitar,Bulldozer,172.72,70.31,180.34,Switch,1990-02-20
Mike Campbell,The Beast,175.26,70.31,,Southpaw,
Chad Corvin,The Brave Warrior,195.58,115.67,,,
Ray Perales,Relentless,177.8,77.11,,Orthodox,
Anvar Boynazarov,The Uzbek,175.26,65.77,,Orthodox,1989-01-10
Anthony Morrison,Cheesesteak,170.18,65.77,,Orthodox,1984-03-29
David Douglas,Tarzan,180.34,70.31,,,
Tyson Nam,,170.18,56.7,172.72,Orthodox,1983-10-06
Peter Danesoe,The Asian Viking,175.26,56.7,172.72,Orthodox,2000-09-01
Hamdy Abdelwahab,The Hammer,187.96,119.75,182.88,Southpaw,1993-01-22
Nick Meregali,,,,,,
Juan Andres Luna,,170.18,56.7,182.88,Orthodox,1995-08-20
Leon Shahbazyan,,193.04,77.11,187.96,Orthodox,1995-11-18
Gokhan Saki,The Rebel,182.88,92.99,185.42,Orthodox,1983-10-19
Justin Smitley,,,65.77,,,
Steve Ramirez,,170.18,56.7,,,
Bill Cooper,,,70.31,,,
Scott Graham,,193.04,83.91,,Orthodox,
Enson Inoue,Yamato Damashii,177.8,95.25,,Orthodox,1967-04-15
Antonio McKee,Mandingo,172.72,70.31,,Southpaw,1970-03-12
Brandon Saling,White Steel,177.8,77.11,,,
Bertrand Amoussou,,172.72,86.18,,Orthodox,
Razak Al-Hassan,,187.96,92.99,,Orthodox,1982-05-14
Julian Sanchez,,190.5,136.08,,Orthodox,
Israel Albuquerque,,,83.91,,Orthodox,
Helio Dipp,,195.58,83.91,,Orthodox,
Brad Katona,Superman,167.64,61.23,162.56,Orthodox,1991-12-19
Santo Curatolo,,160.02,56.7,157.48,Southpaw,1995-01-18
Houston Dorr,,185.42,95.25,,Orthodox,
Alan Omer,,177.8,65.77,,Orthodox,1988-09-14
John Reedy,The Wild Child,172.72,70.31,,,
Fernando Padilla,El Valiente,185.42,65.77,193.04,Orthodox,1996-12-15
Brandon Jenkins,The Human Highlight Reel,182.88,70.31,180.34,Switch,1991-09-30
Muin Gafurov,Tajik,170.18,61.23,172.72,Southpaw,1996-05-17
Eric Martin,,,,,,
Dashawn Boatwright,"Buck, the 400-pound Silverback",182.88,92.99,,Orthodox,1988-02-29
Shane Campbell,Shaolin,182.88,70.31,180.34,Orthodox,1987-01-21
Justin Patterson,The Tactician,177.8,77.11,,,
Roger Carroll,The Leprechaun,177.8,77.11,,,
Todd Moore,,175.26,77.11,180.34,Southpaw,1983-12-30
Jeremy Larsen,,177.8,65.77,177.8,Orthodox,1984-05-18
Zach Zane,The Hurricane,170.18,65.77,175.26,Southpaw,1989-12-14
Jared Chaffee,,177.8,70.31,,,
Takafumi Otsuka,,167.64,63.05,,Orthodox,
Anthony Taylor,Pretty Boy,170.18,65.77,,,
Adam Antolin,Captain Chaos,165.1,56.7,160.02,Orthodox,1982-02-28
Todd Lally,,170.18,65.77,,Orthodox,
James Wallace,Jesse,177.8,70.31,175.26,Orthodox,1992-11-17
CM Punk,,185.42,77.11,185.42,Orthodox,1978-10-26
Cleber Luciano,,167.64,70.31,,,
Denis Tiuliulin,,185.42,83.91,195.58,Orthodox,1988-05-17
Daniel Marcos,Soncora,170.18,61.23,175.26,Orthodox,1993-03-07
Austen Lane,,198.12,111.13,203.2,Orthodox,1987-11-09
Carli Judice,Crispy,170.18,56.7,172.72,Southpaw,1999-03-02
Juan Mott,,182.88,86.18,,Switch,
Kevin Aguilar,Angel of Death,170.18,70.31,185.42,Orthodox,1988-09-07
Elise Reed,,160.02,52.16,160.02,Orthodox,1992-12-05
Rashad Evans,Suga,182.88,92.99,190.5,Orthodox,1979-09-25
Lionel Lanham,,,92.99,,,
Mike de la Torre,El Cucuy,180.34,65.77,180.34,Orthodox,1986-09-22
Alberto Uda,,190.5,83.91,,Orthodox,1984-08-08
Chase Gibson,El Guero,177.8,70.31,182.88,Orthodox,1990-02-07
Jose Augusto,Gugu,190.5,113.85,,,
Joao Elias,Alicate,160.02,56.7,162.56,Southpaw,1995-01-08
Joe Giannetti,,182.88,70.31,187.96,Southpaw,1995-07-05
Marcos Bonilla,Murder Marx,177.8,65.77,,,
Tedd Williams,,185.42,124.74,,Orthodox,1969-12-19
Arman Ashimov,Mustafa Ozturik,167.64,56.7,,,
Daniel Allen,,182.88,70.31,190.5,Southpaw,1992-08-10
Rana Rudra Pratap Singh,Ashwathama,177.8,61.23,175.26,Orthodox,1997-05-09
Cindy Dandois,Battlecat,170.18,61.23,,Orthodox,1984-10-26
Errol Zimmerman,The Bonecrusher,190.5,83.91,,Orthodox,1986-04-20
Kyle Sturgeon,,190.5,102.06,,Switch,
Jorge Gonzalez,Street,187.96,92.99,193.04,Orthodox,1984-02-29
Philipe Lins,Monstro,187.96,92.99,198.12,Orthodox,1985-08-17
Yao Zhikui,The Conqueror,165.1,56.7,162.56,Orthodox,1991-02-07
Andrei Kopylov,,187.96,120.2,,Orthodox,1965-07-16
Larissa Pacheco,,170.18,61.23,,Orthodox,1994-09-07
Chad Sutton,,185.42,83.91,,,
Anna Elmose,Panda,160.02,52.16,,Orthodox,1984-10-06
Merritt Warren,,177.8,70.31,,Southpaw,
Chris Yee,,175.26,83.91,,,
Johnny Bedford,Brutal,177.8,61.23,180.34,Orthodox,1983-01-06
Josh Hendricks,,187.96,106.59,,Southpaw,1976-08-28
Fabian Gonzalez,,177.8,61.23,,,
Leonardo Silva de Oliveira,Cabecao,187.96,83.91,,Orthodox,1992-04-23
Garrett Armfield,,167.64,61.23,177.8,Orthodox,1996-10-09
Joey Gomez,KO King,177.8,61.23,185.42,Orthodox,1986-07-21
Takahiro Oba,,172.72,90.72,,Southpaw,
Toby Misech,2 Quick,172.72,65.77,,Southpaw,1988-03-07
Manon Fiorot,The Beast,170.18,56.7,165.1,Orthodox,1990-02-17
Tai Bowden,,180.34,104.33,,,
Zach Underwood,,187.96,83.91,,,
Josh Bumgarner,,185.42,77.11,,,
Jonathan Santa Maria,,175.26,56.7,,,
Kyle Levinton,,,,,,
Falaniko Vitale,Niko,177.8,83.91,,Orthodox,1974-07-14
Tom Duquesnoy,Fire Kid,170.18,61.23,172.72,Orthodox,1993-06-21
Jim Wallhead,Judo,177.8,77.11,,Orthodox,1984-03-14
Darryl Cobb,,175.26,83.91,,,
Moise Rimbon,Swamp,177.8,92.99,,Orthodox,1977-04-20
Alfonso Alcarez,,160.02,65.77,,,
Ben Lagman,Bad News,187.96,83.91,,,
John Renken,The Saint,182.88,86.18,,Orthodox,
Brandon Sene,,180.34,92.99,,,
James Llontop,Goku,182.88,70.31,185.42,Orthodox,1999-08-02
Scott Fiedler,,193.04,106.59,,Orthodox,
Liliya Shakirova,,162.56,56.7,165.1,Orthodox,1991-10-24
Kaue Fernandes,,175.26,70.31,185.42,Orthodox,1995-03-17
Andre Walker,,180.34,92.99,,Southpaw,
Leiticia Pestova,,167.64,61.23,,Orthodox,1984-01-15
Kelly Velasco,Killer,175.26,61.23,,Orthodox,1995-05-21
Sheldon Westcott,,185.42,77.11,180.34,Southpaw,1984-08-20
Anthony Leone,,167.64,61.23,,Orthodox,1987-05-27
Darko Stosic,,182.88,92.99,193.04,Orthodox,1992-02-09
Melissa Martinez,Super Mely,157.48,52.16,167.64,Southpaw,1997-08-18
Ben Jones,Blitzkrieg,,83.91,,,
Jason Medina,,175.26,81.65,,,
Nandor Guelmino,The Hun,190.5,104.33,,,
Nick Gibbons,,177.8,70.31,,,
Andy Ogle,The Little Axe,172.72,65.77,175.26,Orthodox,1989-02-16
Askar Askar,AK-47,170.18,65.77,175.26,Orthodox,1994-08-19
Paul Redmond,Redser,177.8,65.77,,Orthodox,1986-10-20
Alex Torres,Rolo,177.8,65.77,,Orthodox,1988-05-29
Ednaldo Oliveira,Lula,195.58,92.99,,Orthodox,1984-02-19
Rudyard Moncayo,,177.8,88.45,,Orthodox,
Desmond Torres,,167.64,61.23,175.26,Orthodox,1997-01-06
Gerry Harris,,203.2,122.47,,Orthodox,
Ronal Siahaan,Naga Sakti,170.18,56.7,180.34,Southpaw,1996-05-05
Masanori Tonooka,,172.72,83.91,,Orthodox,
Hidehiko Hasegawa,,175.26,77.11,,,
Lodune Sincaid,,175.26,83.91,,Orthodox,1973-05-07
Sarah Kaufman,,165.1,61.23,167.64,Orthodox,1985-09-20
Gideon Ray,,177.8,83.91,,Southpaw,1973-05-27
Gary Padilla,,180.34,92.99,,,
Kwan Ho Kwak,,165.1,61.23,,Switch,1989-06-18
Mark Robinson,White Rhino,182.88,120.2,,Orthodox,
David Blanco,,170.18,65.77,,,
Alessio Sakara,Legionarius,182.88,83.91,182.88,Orthodox,1981-09-02
Jesse Finney,,182.88,77.11,,,
Joe Vedepo,The Doctor,182.88,83.91,,Orthodox,
John Phillips,The Welsh Wrecking Machine,180.34,83.91,190.5,Southpaw,1985-06-09
Neal Ewing,,,83.91,,,
Remco Pardoel,Grizzly,190.5,117.93,,Southpaw,
Alexandre Ferreira,Cacareco,170.18,92.99,,Orthodox,1979-04-25
Vernon Ramos Ho,,167.64,77.11,,Orthodox,1992-06-03
Angelo Trevino,Baby Monsta,180.34,77.11,,Switch,1993-06-10
Ross Ebanez,The Boss,175.26,69.85,,Southpaw,1975-05-18
Stanislav Nedkov,Stucky,180.34,92.99,180.34,Orthodox,1981-12-09
Mike Breeden,Money,177.8,70.31,177.8,Orthodox,1989-04-21
Melsik Baghdasaryan,The Gun,175.26,65.77,177.8,Southpaw,1992-01-28
Gabriel Miglioli,Biel,172.72,77.11,,,
Wendell Oliveira Marques,The Machine,177.8,77.11,,Orthodox,1983-06-01
Artem Lobov,The Russian Hammer,175.26,65.77,165.1,Southpaw,1986-08-11
Sai Wang,The Fire Kylin,182.88,77.11,,Southpaw,1986-01-14
Alen Amedovski,,177.8,83.91,187.96,Orthodox,1988-04-06
Koji Kitao,,200.66,158.76,,Southpaw,1963-10-12
Dalcha Lungiambula,Champion,172.72,83.91,193.04,Orthodox,1987-07-31
Irwin Rivera,The Beast,167.64,61.23,170.18,Southpaw,1989-02-14
Adam Lynn,,177.8,70.31,,Orthodox,
Chad Vance,,182.88,83.91,,Orthodox,
Igor Zinoviev,Houdini,185.42,90.26,,Orthodox,
Sam Hughes,Sampage,165.1,52.16,162.56,Orthodox,1992-06-28
Pawel Pawlak,,182.88,77.11,185.42,Orthodox,1989-02-08
Ricky Johnson,,172.72,65.77,,Orthodox,
Oumar Sy,,,92.99,,,
Jong Wang Kim,,185.42,108.86,,,
Dan Charles,The Man,187.96,103.42,,,
Mike Aina,Iron,175.26,70.31,,Orthodox,
Jeremiah Labiano,The Kid,177.8,61.23,,,
Cyrillo Padilha,,180.34,70.31,,,
Artur Oumakhanov,,170.18,69.85,,Orthodox,1979-02-27
Darrel Gholar,,172.72,88,,Orthodox,
Dennis Reed,,,92.99,,Orthodox,
Logan Nail,,,83.91,,,
Armando Villarreal,La Lumbre,170.18,61.23,167.64,Southpaw,1989-08-08
Joaquin Buckley,New Mansa,177.8,77.11,193.04,Southpaw,1994-04-27
Robert Bryczek,,,83.91,,,
Derek Anderson,Barbaric,182.88,70.31,,,
Bethe Correia,Pitbull,165.1,61.23,162.56,Orthodox,1983-06-22
Shannon Ross,The Turkish Delight,167.64,56.7,167.64,Switch,1989-05-12
Orlando Wiet,The Gladiator,177.8,77.11,,Southpaw,
Adrian Yanez,,170.18,61.23,177.8,Orthodox,1993-11-29
Brandon Cash,Money,195.58,115.67,,Orthodox,
Jamie Yager,The Chosyn 1,185.42,83.91,,Orthodox,1983-11-29
Ben Alloway,Blanco,180.34,77.11,193.04,Orthodox,1981-02-19
Kurt Osiander,,,83.91,,,
Trevor Peek,,175.26,70.31,177.8,Switch,1995-01-09
AJ Siscoe,Let's Go,170.18,61.23,,,
Chris Drumm,,172.72,65.77,,,
Federico Lopez,Kiko,162.56,63.05,,Orthodox,
John Dowdy,,,,,,
Jared Hamman,The Messenger,190.5,83.91,190.5,Orthodox,1982-03-07
Henry Martinez,Sicario,170.18,70.31,175.26,Southpaw,1983-08-07
Jim Mullen,,185.42,97.52,,Southpaw,
Cody Pfister,The Fist,177.8,70.31,185.42,Orthodox,1990-07-12
Cale Yarbrough,,185.42,83.91,,Orthodox,1986-12-27
Jeremy Umphries,,,72.57,,,
Alex Hunter,,175.26,102.51,,Orthodox,
Bryan Travers,,,70.31,,,
Todd Medina,El Tiburon,177.8,87.54,,Southpaw,
Jeremy Malaterre,,180.34,70.31,,,
Yan Pellerin,Wild Thing,180.34,92.99,,Orthodox,
Danny Martinez,The Gremlin,167.64,56.7,170.18,Orthodox,1985-06-14
Jorge Patino,Macaco,172.72,77.11,,Orthodox,1973-08-05
Paul Herrera,The Bone Crusher,177.8,83.91,,Orthodox,
Hector Aldana,,180.34,77.11,182.88,Orthodox,1988-08-17
Keith Berry,,185.42,83.91,,,
Ryan Diaz,,,65.77,,,
Chad Robichaux,Robo,162.56,61.23,,,
Shana Olsen,Rock Solid,170.18,65.77,,,
Caolan Loughran,The Don,167.64,61.23,172.72,Orthodox,1996-05-18
Harold Howard,,187.96,108.86,,Orthodox,
Giacomo Lemos,,190.5,112.04,190.5,Orthodox,1989-06-23
Eduardo Dantas,Dudu,177.8,61.23,,,
Marcin Prachnio,,190.5,92.99,187.96,Orthodox,1988-07-14
Dino Pezao,,,92.99,,Orthodox,
Mairbek Taisumov,Beckan,175.26,70.31,185.42,Orthodox,1988-08-08
Brandon Lowe,,,70.31,,,
Qiu Lun,Tibetan Knight,172.72,56.7,167.64,Southpaw,1997-07-08
Mike Richman,The Marine,172.72,61.23,,,
Chris Daukaus,,190.5,92.99,193.04,Orthodox,1989-09-25
Kris McCray,Savage,182.88,77.11,193.04,Orthodox,1981-09-24
Brandon Michaels,,175.26,83.91,,,
Bruno Lopes,Brunao,187.96,92.99,190.5,Orthodox,1993-04-24
Stoney Hale,The Skuller,182.88,,,,
Yoel Romero,Soldier of God,182.88,83.91,185.42,Southpaw,1977-04-30
Jesse Butler,,177.8,65.77,185.42,Orthodox,1992-05-24
Louis Jauregui,,170.18,77.11,,,
Jerrel Venetiaan,,185.42,88.45,,Orthodox,1971-03-09
Lv Zhenhong,,172.72,65.77,170.18,Switch,1993-06-25
Armen Petrosyan,Superman,190.5,83.91,180.34,Orthodox,1990-11-02
Vinicius Magalhaes,Draculinho,,65.77,,,
Shang Zhifa,Northeast Flying Tiger,170.18,56.7,160.02,Orthodox,1986-03-15
James Reese,JP,175.26,70.31,,,
David Abbott,Tank,182.88,120.2,,Switch,
Steven Ciaccio,Stryker,182.88,77.11,,,
Charlie Campbell,The Cannibal,182.88,70.31,182.88,Orthodox,1995-07-03
Nazareno Malegarie,El Tigre,172.72,70.31,,,
Christian Colombo,,195.58,120.2,,Orthodox,1980-07-01
Mike Glenn,,,92.99,,,
Craig Zellner,Big Z,187.96,92.99,,Orthodox,1976-09-09
Sergio Gomez,,167.64,70.31,,Orthodox,1982-04-29
Roshaun Jones,,172.72,61.23,,,
Joey Gomez,,177.8,70.31,180.34,Orthodox,1989-08-29
Brad Kohler,,175.26,99.79,,Orthodox,1964-05-26
Rashad Coulter,Daywalker,180.34,92.99,193.04,Orthodox,1981-11-27
Antonio Carvalho,Pato,175.26,65.77,177.8,Orthodox,1979-05-30
Zubaira Tukhugov,Warrior,172.72,70.31,172.72,Orthodox,1991-01-15
Manuel Torres,El Loco,177.8,70.31,185.42,Switch,1995-03-25
Raphael Pessoa,Bebezao,190.5,118.84,198.12,Orthodox,1989-03-09
Jason Novelli,Flipside,182.88,70.31,,Orthodox,1979-06-08
Magomed Gadzhiyasulov,,187.96,92.99,190.5,Orthodox,1993-11-04
Lance Gibson,Fearless,175.26,83.91,,Orthodox,1970-11-20
TJ Cook,,,92.99,,,
Chris Cope,C-Murder,182.88,77.11,182.88,Orthodox,1983-03-05
Martin Svensson,,185.42,70.31,,,
Matt Helm,,,70.31,,,
Hilarie Rose,,160.02,52.16,160.02,Orthodox,1992-11-11
Viacheslav Borshchev,Slava Claus,180.34,70.31,175.26,Orthodox,1992-01-08
Tyra Parker,,165.1,52.16,,Orthodox,
Humberto DeLeon,,,61.23,,,
Katsuya Inoue,,175.26,76.2,,Southpaw,1979-08-10
Robert Breslin,The Bullet,180.34,70.31,,,
Takashi Sato,Ten,177.8,77.11,185.42,Southpaw,1990-06-09
Jason Blackford,,,,,,
Roshan Mainam,The Indian Notorious,,61.23,,,
Daichi Abe,,180.34,77.11,180.34,Orthodox,1991-11-27
Aaron Jeffery,,187.96,83.91,185.42,Orthodox,1992-11-14
YeDam Seo,,157.48,52.16,160.02,Orthodox,1992-03-20
Charlie Ontiveros,American Bad Boy,187.96,70.31,187.96,Switch,1991-07-04
Rob Yundt,Monster,185.42,83.91,,Orthodox,1980-05-05
Salvador Becerra,,175.26,70.31,,,
Lee Higgins,,,70.31,,,
Andre Gusmao,,182.88,92.99,,Orthodox,1977-05-19
Kazuhiro Hamanaka,,182.88,83.91,,Southpaw,1978-10-24
Joshua Van,The Fearless,165.1,56.7,165.1,Orthodox,2001-10-10
Edgar Cardenas,Kitty Katt,,65.77,,,
Soa Palelei,The Hulk,193.04,120.2,205.74,Orthodox,1977-07-12
Krishaun Gilmore,,,,,,
John Lober,The Machine,180.34,90.26,,Orthodox,1968-02-26
Kyosuke Sasaki,,170.18,83.01,,Southpaw,
Li Jingliang,The Leech,182.88,77.11,180.34,Orthodox,1988-03-20
Alptekin Ozkilic,The Turkish Delight,165.1,56.7,165.1,Orthodox,1986-03-27
Jacqueline Cavalcanti,,172.72,61.23,177.8,Orthodox,1997-08-29
Victor Rodriguez,Vicious,165.1,56.7,170.18,Switch,1992-09-05
Brett Tillis,,,65.77,,,
Orion Cosce,Galaxy,180.34,77.11,180.34,Switch,1994-07-15
Josh Copeland,Cuddly Bear,185.42,120.2,,Orthodox,1982-10-20
Shannon Ritch,The Cannon,175.26,86.18,,Orthodox,1970-09-27
Katsuhiko Nagata,,170.18,69.85,,Southpaw,1973-10-31
Saparbeg Safarov,,185.42,83.91,198.12,Orthodox,1986-10-14
CJ Marsh,,,,,,
Eli Tamez,Tomahawk,170.18,61.23,,,
George Allen,,187.96,92.99,,Open Stance,1967-01-13
Gabriel Checco,Zangief,185.42,83.91,,Switch,1986-04-03
Wesley Little,,193.04,92.99,,,
Chad Leonhardt,The Boss,182.88,77.11,,,
Derek Campos,The Stallion,175.26,70.31,,,
Jorge Oliveira,,185.42,92.99,,,
Gigo Jara,The Little Animal,175.26,65.77,,,
Aleksei Kunchenko,,172.72,77.11,177.8,Orthodox,1984-05-02
Kemran Lachinov,,,77.11,,,
Mabelly Lima,,157.48,61.23,,Orthodox,1994-01-25
James Terry,Intensity,177.8,77.11,,Orthodox,1981-03-16
Dave Berry,,,,,,
Patricia Alujas,The Angel,162.56,52.16,162.56,Orthodox,1996-05-08
Marcos Brigagao,Ironside,190.5,92.99,193.04,Southpaw,1996-04-01
Tetsuya Seki,,177.8,70.31,,,
Neil Wain,Old School,177.8,109.77,,Orthodox,
Micol Di Segni,,160.02,52.16,152.4,Orthodox,1987-12-29
Anistavio Medeiros,Gasparzinho,167.64,65.77,,Orthodox,1988-05-01
Josh LaBerge,,177.8,65.77,,,
Azamat Gashimov,,167.64,56.7,,Orthodox,1990-04-07
Mike van Arsdale,,187.96,92.99,,Switch,1965-06-20
Teruto Ishihara,Yashabo,170.18,61.23,175.26,Southpaw,1991-07-23
Joey Beltran,The Mexicutioner,185.42,83.91,190.5,Orthodox,1981-12-08
Shane Carwin,The Engineer,187.96,120.2,203.2,Orthodox,1975-01-04
TJ Laramie,,167.64,65.77,167.64,Orthodox,1997-10-15
John Richard,,,92.99,,,
Lucas Stark,,,70.31,,,
Kazuki Tokudome,,180.34,70.31,185.42,Southpaw,1987-03-04
Alexander Trevino,,,77.11,,,
Justin Wren,The Viking,187.96,120.2,,Orthodox,1987-04-27
Frederick Brown,,182.88,106.59,,,
Kyoji Horiguchi,,165.1,56.7,167.64,Orthodox,1990-10-12
Edson Gomez,,172.72,77.11,175.26,Switch,1991-02-23
Alexandre Franca Nogueira,Pequeno,170.18,65.77,,Orthodox,1978-01-15
Kim Couture,Sugar Free,172.72,61.23,,Orthodox,1975-12-18
Jason Fairn,,185.42,104.33,,,
Lukasz Les,,,77.11,,,
Joe Ray,,,77.11,,,
Jan Finney,Cuddles,172.72,61.23,,Orthodox,
Mason Jones,Dragon,177.8,70.31,187.96,Orthodox,1995-04-26
Bojan Mihajlovic,,180.34,92.99,185.42,Orthodox,1980-03-30
Codale Ford,Crunch Time,175.26,77.11,,,
Christophe Leninger,,182.88,90.72,,Southpaw,
Cory Walmsley,Hardcore,182.88,92.99,,Orthodox,
Tyler Hill,,190.5,77.11,,Switch,1991-08-10
Jean Francois Lenogue,,182.88,83.91,,Orthodox,1972-11-29
Brendan Seguin,,182.88,83.91,,,
Felipe Bunes,Felipinho,170.18,56.7,175.26,Orthodox,1989-10-29
Steve Steinbeiss,The Hooligan,190.5,83.91,190.5,Orthodox,1981-05-05
James Bochnovic,,193.04,92.99,205.74,Orthodox,1989-02-13
Carlos Barreto,,193.04,104.33,,Orthodox,
Joe Veres,,170.18,70.31,,Orthodox,1977-11-09
Paul Daley,Semtex,175.26,77.11,193.04,Orthodox,1983-02-21
Curtis Blaydes,Razor,193.04,120.2,203.2,Orthodox,1991-02-18
Terry Martin,,172.72,83.91,180.34,Orthodox,1980-10-10
Tyler Diamond,,170.18,65.77,175.26,Orthodox,1991-03-18
Martin Sano,Spartan,180.34,77.11,190.5,Orthodox,1991-05-30
Chris Birchler,The Big Buck,190.5,92.99,,Switch,1987-06-05
John Adajar,The Outlaw,175.26,77.11,190.5,Orthodox,1991-06-22
Richard Odoms,The Black Eagle,195.58,120.2,,Orthodox,1975-05-08
Martin Bravo,El Toro,172.72,65.77,180.34,Southpaw,1993-09-21
Jacobi Jones,Big Toe,175.26,70.31,182.88,Orthodox,1996-05-24
Dominique Steele,Non-Stop Action-Packed,177.8,77.11,187.96,Orthodox,1988-01-27
Jared Vanderaa,,193.04,120.2,203.2,Orthodox,1992-05-12
Herman Renting,,182.88,97.52,,Switch,
Kazuyuki Miyata,,172.72,63.05,,Orthodox,
Suman Mokhtarian,,172.72,65.77,182.88,Orthodox,1992-06-13
Yusuke Kawaguchi,,182.88,115.67,,,
Adin Duenas,,167.64,65.77,,,
Noe Hernandez,,,,,Orthodox,
Mark Hall,,182.88,86.18,,Orthodox,
KyeungPyo Kim,Redhorse,175.26,70.31,180.34,Orthodox,1992-01-29
David Levicki,,195.58,124.74,,,
George Bush,,185.42,92.99,,,
Sean O'Haire,,195.58,122.47,,Orthodox,1971-02-25
Tommy Hayden,Wild Card,175.26,65.77,,Southpaw,1986-03-11
Yusuke Imamura,,172.72,99.79,,Orthodox,
Han Ten Yun,,180.34,99.79,,,
Chad W. Saunders,,177.8,77.11,,Orthodox,
Tom Egan,,180.34,77.11,,Orthodox,
Curtis Millender,Curtious,187.96,77.11,193.04,Orthodox,1987-12-01
Jose Perez,,,,,,
Ramazan Kuramagomedov,,185.42,77.11,185.42,Orthodox,1996-08-23
Zak Bucia,,177.8,77.11,,,
Gil Castillo,,175.26,77.11,,Southpaw,1965-10-21
Kenneth Alexander,The Machine,175.26,70.31,,Orthodox,1977-09-25
Josefine Knutsson,Thunder,160.02,52.16,152.4,Orthodox,1996-01-16
Marcelo Aguiar,,177.8,77.11,,Orthodox,
Angga,The Hitman,170.18,65.77,172.72,Orthodox,1989-01-13
Matt Horning,Horndog,162.56,56.7,,,
Justin Lawrence,The American Kidd,172.72,65.77,170.18,Orthodox,1990-05-15
Takashi Sugiura,,180.34,102.06,,Southpaw,1970-05-31
Scott Bills,,177.8,77.11,,,
Michiyoshi Ohara,,177.8,92.99,,Orthodox,
Yan Qihui,Queen Kong,160.02,56.7,157.48,Orthodox,1996-10-01
Ryan Hayes,,,,,,
Bubba Jenkins,The Highlight Kid,170.18,65.77,,,
Taiei Kin,,180.34,83.91,,Orthodox,1970-07-08
Martin Buschkamp,,175.26,65.77,,Orthodox,1991-01-06
Egan Inoue,,175.26,86.18,,Southpaw,1965-07-04
Bobby Flynn,,,77.11,,,
Chuck Grigsby,The Reverend,198.12,92.99,,Orthodox,
Jon Olav Einemo,The Viking,198.12,114.76,,Orthodox,1975-12-10
Brian Johnston,,190.5,104.33,,Orthodox,
Albert Tumenov,Einstein,180.34,77.11,185.42,Orthodox,1991-12-26
Dennis Olson,,182.88,77.11,,,
Dave Strasser,,177.8,77.11,,Orthodox,1969-07-13
Rocky Lee,,175.26,65.77,,Orthodox,1987-04-08
Rama Supandhi,Hellboy,165.1,56.7,167.64,Southpaw,1991-11-07
Jonathan Meunier,District,190.5,77.11,,Switch,1987-08-04
Bassil Hafez,The Habibi,180.34,77.11,182.88,Orthodox,1992-01-31
Sokun Koh,,185.42,92.99,,,
Nora Cornolle,,170.18,61.23,170.18,Orthodox,1989-12-06
Piera Rodriguez,La Fiera,160.02,52.16,160.02,Orthodox,1992-11-11
Danny Abbadi,The Assassin,180.34,70.31,,Orthodox,1983-07-03
Leo Sylvest,Lethal,180.34,92.99,,Orthodox,1973-09-03
Scott Carson,,187.96,97.52,,,
Fedor Nikolov,,,,,,
Serhiy Sidey,,180.34,61.23,182.88,Switch,1996-07-04
James Giboo,,180.34,77.11,,Orthodox,1978-01-06
Eric Smith,,,,,Southpaw,
Muhammad Naimov,Hillman,175.26,65.77,177.8,Orthodox,1994-08-07
Fares Ziam,Smile Killer,185.42,70.31,190.5,Orthodox,1997-03-21
Len Bentley,,175.26,70.31,,,
James Gabert,,,80.74,,,
Jeremie Holloway,Hit Em,182.88,77.11,,,
Brandon Hester,The Beast,185.42,92.99,,,
SangWon Kim,No Problem,175.26,65.77,175.26,Orthodox,1993-09-01
Kyle Bochniak,Killer B,170.18,65.77,177.8,Orthodox,1987-02-05
Danny Silva,El Puma,180.34,65.77,177.8,Switch,1997-01-30
AJ Cunningham,The Savage,177.8,65.77,180.34,Orthodox,1994-09-07
Gan McGee,The Giant,208.28,120.2,,Orthodox,1976-11-20
Roy Boughton,Black Dynamite,182.88,92.99,,,
Tommy Petersen,,,70.31,,,
Eduardo Neves,Bebezao,187.96,119.29,198.12,Orthodox,2000-03-16
Pat Curran,Paddy Mike,175.26,65.77,,,
Braxton Smith,The Beautiful Monster,180.34,116.57,182.88,Orthodox,1990-01-01
Kevin Gray,Pocket Herc,162.56,56.7,170.18,Orthodox,1985-05-03
Gustavo Gabriel,,167.64,56.7,,Orthodox,1994-04-01
Craig Jones,,,92.99,,,
Brian Sleeman,,172.72,83.91,,,
Isaac Dulgarian,The Midwest Choppa,170.18,65.77,180.34,Orthodox,1996-07-04
Ralph Dillon,Rage,187.96,92.99,,Orthodox,
