name,nickname,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth
Ken Shamrock,The World's Most Dangerous Man,185.42,92.99,182.88,Orthodox,1964-02-11
Lumumba Sayers,,182.88,83.91,,,
Dale Hartt,,177.8,70.31,175.26,Orthodox,1979-04-04
Thomas Petersen,The Train,185.42,119.75,187.96,Southpaw,1995-03-30
Tom Murphy,,187.96,102.97,,Southpaw,1974-11-19
Naoki Inoue,,175.26,56.7,180.34,Orthodox,1997-06-14
Phil Cardella,,180.34,70.31,,,
Clayton Carpenter,,167.64,56.7,167.64,Orthodox,1996-06-09
Ivan Salaverry,,182.88,83.91,,Orthodox,1971-01-11
Keisuke Fujiwara,,167.64,63.05,,Switch,
Cody McKenzie,,182.88,70.31,182.88,Switch,1987-12-16
Tamdan McCrory,The Barncat,193.04,83.91,193.04,Switch,1986-11-05
Liam McGeary,,198.12,92.99,,,
Jailton Almeida,Malhadinho,190.5,92.99,200.66,Orthodox,1991-06-26
Doug Marshall,The Rhino,177.8,92.99,,Orthodox,1975-09-09
Mark Weir,The Wizard,187.96,83.91,,Southpaw,1967-09-19
Shane del Rosario,,193.04,113.4,,Southpaw,1983-09-23
Juan Espino,El Guapo,190.5,115.67,203.2,Orthodox,1980-10-09
Jason Lambert,The Punisher,190.5,83.91,190.5,Orthodox,1975-06-03
Noad Lahat,Neo,175.26,65.77,175.26,Orthodox,1984-06-08
Paddy Pimblett,The Baddy,177.8,70.31,185.42,Orthodox,1995-01-03
Gabriel Miranda,Fly,180.34,65.77,180.34,Orthodox,1990-03-25
Rob Kimmons,The Rosedale Reaper,177.8,83.91,185.42,Orthodox,1981-01-30
Hermes Franca,,167.64,70.31,180.34,Orthodox,1974-08-26
Cesar Arzamendia,Goku,180.34,70.31,,Orthodox,1991-01-31
Antonio Rodrigo Nogueira,Minotauro,190.5,108.86,195.58,Orthodox,1976-06-02
Chris Lytle,Lights Out,180.34,77.11,172.72,Orthodox,1974-08-18
Ramiz Brahimaj,,177.8,77.11,182.88,Orthodox,1992-11-17
Eugene Jackson,The Wolf,172.72,83.91,,Orthodox,1966-09-23
Joe Doerksen,El Dirte,182.88,83.91,190.5,Orthodox,1977-10-09
Wes Sims,The Project,208.28,117.93,,Orthodox,1979-08-04
JP Buys,Young Savage,165.1,61.23,170.18,Orthodox,1996-04-30
Brandon Royval,Raw Dawg,175.26,56.7,172.72,Southpaw,1992-08-16
Nate Smith,The Savage,167.64,56.7,175.26,Switch,1995-04-09
Mats Nilsson,,185.42,77.11,,Orthodox,1983-12-05
Hideo Tokoro,,170.18,61.23,,Orthodox,1977-08-22
Jose Maria,No Chance,165.1,56.7,,Orthodox,1982-01-04
Yoshiki Takahashi,Kazuo,180.34,90.26,,Southpaw,1969-03-13
Ikram Aliskerov,,182.88,83.91,193.04,Southpaw,1992-12-07
Mike Joy,,167.64,70.31,,Southpaw,1985-07-18
Kimo Leopoldo,,190.5,106.59,,Orthodox,1968-01-05
Chas Skelly,The Scrapper,180.34,65.77,182.88,Orthodox,1985-05-11
Ruan Potts,Fangzz,187.96,112.04,190.5,Orthodox,1978-02-23
Mark Holst,Boots,182.88,70.31,,Orthodox,1985-08-14
Seth Petruzelli,The Silverback,182.88,92.99,193.04,Orthodox,1979-12-03
Christian Morecraft,,198.12,117.93,205.74,Orthodox,1986-09-08
Niklas Backstrom,,185.42,65.77,,Orthodox,1989-08-22
Kaynan Kruschewsky,Bahia,182.88,70.31,185.42,Orthodox,1991-04-04
Drew Fickett,The Master,177.8,70.31,177.8,Orthodox,1979-12-14
Ryan Thomas,The Tank Engine,182.88,77.11,,Orthodox,1984-11-05
Ryan Hall,The Wizard,177.8,65.77,177.8,Southpaw,1985-02-22
Dustin Kimura,The Diamond,170.18,61.23,180.34,Orthodox,1989-05-21
Alex Gilpin,,170.18,65.77,,Orthodox,1992-03-26
Josh Grispi,The Fluke,180.34,65.77,187.96,Orthodox,1988-10-14
Anthony Torres,The Crush,172.72,77.11,,Orthodox,1978-07-31
Danny Henry,The Hatchet,182.88,65.77,185.42,Orthodox,1988-07-17
Hidehiko Yoshida,,180.34,102.06,,Orthodox,1969-09-03
Joe Stevenson,Daddy,170.18,65.77,177.8,Orthodox,1982-06-15
Everett Cummings,,,92.99,,,
Jose Landi-Jons,Pele,180.34,77.11,,Orthodox,1973-09-09
Wilson Gouveia,,185.42,83.91,193.04,Orthodox,1978-10-03
Chris Price,The Exorcist,187.96,83.91,,Southpaw,1982-11-09
Fredson Paixao,,167.64,65.77,167.64,Orthodox,1979-05-13
Jake Hadley,White Kong,170.18,56.7,177.8,Southpaw,1996-08-03
Chase Hooper,The Dream,185.42,70.31,187.96,Southpaw,1999-09-13
Daniel Gracie,,187.96,102.06,,Orthodox,
Masakazu Imanari,,162.56,63.05,,Southpaw,1976-02-10
Andrew Holbrook,,180.34,70.31,177.8,Southpaw,1986-02-06
Mike Cook,,185.42,92.99,,Orthodox,
Polyana Viana,Dama de Ferro,165.1,52.16,170.18,Orthodox,1992-06-14
Logan Clark,,187.96,83.91,,Orthodox,1985-02-16
Nate Loughran,,187.96,83.91,,Orthodox,1980-07-28
Tim McKenzie,,182.88,83.91,187.96,Orthodox,1982-07-21
Mackens Semerzier,Da Menace,175.26,65.77,182.88,Orthodox,1980-11-03
Dennis Hallman,Superman,175.26,70.31,182.88,Orthodox,1975-12-02
Chris Brennan,The Westside Strangler,172.72,77.11,,Orthodox,1971-10-12
Josh Sampo,The Gremlin,162.56,56.7,162.56,Orthodox,1984-07-24
Katsuhisa Fujii,Shamoji,182.88,92.99,,Orthodox,1972-08-15
Brooke Mayo,The Bully,170.18,56.7,,,
Satoru Kitaoka,,167.64,69.85,,,
Daermisi Zhawupasi,,172.72,61.23,172.72,Switch,2000-03-13
Jeremiah Metcalf,,185.42,83.91,,Orthodox,
Harry Hunsucker,The Hurricane,187.96,92.99,190.5,Orthodox,1989-01-03
Charles Bennett,Krazy Horse,172.72,70.31,,Orthodox,1979-11-23
Kevin Syler,El Nino Bala,175.26,70.31,180.34,Switch,1993-07-29
Mike Zichelle,,,92.99,,,
Dave Galera,Scarecrow,180.34,61.23,,Orthodox,1978-01-12
Kaik Brito,,180.34,77.11,182.88,Orthodox,1997-03-26
Josh Thornburg,,182.88,77.11,,,
Chad Reiner,The Grinder,180.34,77.11,,Orthodox,1981-06-29
Jacob Volkmann,Christmas,175.26,70.31,180.34,Southpaw,1980-09-05
Brock Larson,,180.34,77.11,180.34,Southpaw,1977-08-23
Christian Lohsen,Hollywood,187.96,70.31,195.58,Southpaw,1995-01-24
Brent Primus,,177.8,70.31,,,
Nick Serra,The Mad Monkey,175.26,77.11,,Orthodox,1978-03-27
Chris Holdsworth,,180.34,61.23,,,
David Mitchell,Daudi,182.88,77.11,190.5,Orthodox,1979-10-24
John Halverson,The Hurricane,175.26,70.31,,Southpaw,1972-09-08
Sean Holden,,177.8,77.11,,,
Eric Wray,,182.88,77.11,,Orthodox,
Kevin Haley,The North Woods Nightmare,187.96,92.99,,,
Mariusz Ksiazkiewicz,The Iron Pol,190.5,83.91,190.5,Southpaw,1989-10-04
Young Sam Jung,,172.72,63.05,,Orthodox,1985-10-27
Luis Rodriguez,Lazy Boy,167.64,56.7,165.1,Orthodox,1999-05-07
Jarrod Kwitty,,172.72,83.91,,,
Jimmy Crute,,187.96,92.99,187.96,Orthodox,1996-03-04
Joe Lauzon,,177.8,70.31,180.34,Orthodox,1984-05-22
Tomoya Miyashita,,170.18,63.05,,Southpaw,
Jack Cartwright,,175.26,61.23,172.72,Orthodox,1994-05-26
