EVENT,BOUT,OUTCOME,ROUND,TIME,TIME FORMAT,FIGHTER_1,FIGHTER_2,Total_Rounds_Format,Main_round_time_Format,Num_overtime_rounds_Format,Overtime_round_time_Format,gender,is_title_bout,weight_class,fighter_1_result,fighter_2_result,method_label,weightclass_numeric,DATE,LOCATION,total_time_seconds
ufc 309: jones vs. miocic,jhonata diniz vs. marcin tybura,W/L,2,300,3 Rnd (5-5-5),marcin tybura,jhonata diniz,3.0,5,0.0,0,0,0,heavyweight,1,0,0,8,2024-11-16,"new york city, new york, usa",600
ufc 309: jones vs. miocic,mickey gall vs. ramiz brahimaj,L/W,1,175,3 Rnd (5-5-5),mickey gall,ramiz brahimaj,3.0,5,0.0,0,0,0,welterweight,0,1,0,5,2024-11-16,"new york city, new york, usa",175
ufc 309: jones vs. miocic,bassil hafez vs. oban elliott,L/W,3,40,3 Rnd (5-5-5),bassil hafez,oban elliott,3.0,5,0.0,0,0,0,welterweight,0,1,0,5,2024-11-16,"new york city, new york, usa",640
ufc 309: jones vs. miocic,eduarda moura vs. veronica hardy,L/W,3,300,3 Rnd (5-5-5),veronica hardy,eduarda moura,3.0,5,0.0,0,1,0,flyweight,0,1,2,1,2024-11-16,"new york city, new york, usa",900
ufc fight night: magny vs. prates,carlos prates vs. neil magny,L/W,1,290,5 Rnd (5-5-5-5-5),neil magny,carlos prates,5.0,5,0.0,0,0,0,welterweight,0,1,0,5,2024-11-09,"las vegas, nevada, usa",290
ufc fight night: magny vs. prates,gerald meerschaert vs. reinier de ridder,L/W,3,104,3 Rnd (5-5-5),gerald meerschaert,reinier de ridder,3.0,5,0.0,0,0,0,middleweight,0,1,1,6,2024-11-09,"las vegas, nevada, usa",704
ufc fight night: magny vs. prates,cortavious romious vs. gaston bolanos,W/L,3,300,3 Rnd (5-5-5),gaston bolanos,cortavious romious,3.0,5,0.0,0,0,0,bantamweight,1,0,2,2,2024-11-09,"las vegas, nevada, usa",900
ufc fight night: magny vs. prates,gillian robertson vs. luana pinheiro,L/W,3,300,3 Rnd (5-5-5),luana pinheiro,gillian robertson,3.0,5,0.0,0,1,0,strawweight,0,1,2,0,2024-11-09,"las vegas, nevada, usa",900
ufc fight night: magny vs. prates,dusko todorovic vs. mansur abdul-malik,W/L,1,164,3 Rnd (5-5-5),mansur abdul-malik,dusko todorovic,3.0,5,0.0,0,0,0,middleweight,1,0,0,6,2024-11-09,"las vegas, nevada, usa",164
ufc fight night: magny vs. prates,denise gomes vs. karolina kowalkiewicz,L/W,3,300,3 Rnd (5-5-5),karolina kowalkiewicz,denise gomes,3.0,5,0.0,0,1,0,strawweight,0,1,2,0,2024-11-09,"las vegas, nevada, usa",900
