EVENT,BOUT,ROUND,TIME,FIGHTER_1,FIGHTER_2,Total_Rounds_Format,Main_round_time_Format,Num_overtime_rounds_Format,Overtime_round_time_Format,gender,is_title_bout,weight_class,fighter_1_result,fighter_2_result,method_label,weightclass_numeric,DATE,LOCATION,total_time_seconds
ufc 310: pantoja vs. asakura,bryce mitchell vs. kron gracie,3,39,bryce mitchell,kron gracie,3.0,5.0,0.0,0.0,0,0,featherweight,1,0,0,3,2024-12-07,"las vegas, nevada, usa",639.0
ufc 310: pantoja vs. asakura,nate landwehr vs. dooho choi,3,201,nate landwehr,dooho choi,3.0,5.0,0.0,0.0,0,0,featherweight,0,1,0,3,2024-12-07,"las vegas, nevada, usa",801.0
ufc 310: pantoja vs. asakura,dominick reyes vs. anthony smith,2,286,dominick reyes,anthony smith,3.0,5.0,0.0,0.0,0,0,light heavyweight,1,0,0,7,2024-12-07,"las vegas, nevada, usa",586.0
ufc 310: pantoja vs. asakura,vicente luque vs. themba gorimbo,1,52,vicente luque,themba gorimbo,3.0,5.0,0.0,0.0,0,0,welterweight,1,0,1,5,2024-12-07,"las vegas, nevada, usa",52.0
ufc 310: pantoja vs. asakura,movsar evloev vs. aljamain sterling,3,300,movsar evloev,aljamain sterling,3.0,5.0,0.0,0.0,0,0,featherweight,1,0,2,3,2024-12-07,"las vegas, nevada, usa",900.0
ufc 310: pantoja vs. asakura,randy brown vs. bryan battle,3,300,randy brown,bryan battle,3.0,5.0,0.0,0.0,0,0,welterweight,0,1,2,5,2024-12-07,"las vegas, nevada, usa",900.0
ufc 310: pantoja vs. asakura,chris weidman vs. eryk anders,2,291,chris weidman,eryk anders,3.0,5.0,0.0,0.0,0,0,catch weight,0,1,0,9,2024-12-07,"las vegas, nevada, usa",591.0
ufc 310: pantoja vs. asakura,cody durden vs. joshua van,3,300,cody durden,joshua van,3.0,5.0,0.0,0.0,0,0,flyweight,0,1,2,1,2024-12-07,"las vegas, nevada, usa",900.0
ufc 310: pantoja vs. asakura,michael chiesa vs. max griffin,3,116,michael chiesa,max griffin,3.0,5.0,0.0,0.0,0,0,welterweight,1,0,1,5,2024-12-07,"las vegas, nevada, usa",716.0
ufc 310: pantoja vs. asakura,clay guida vs. chase hooper,1,221,clay guida,chase hooper,3.0,5.0,0.0,0.0,0,0,lightweight,0,1,1,4,2024-12-07,"las vegas, nevada, usa",221.0
ufc 310: pantoja vs. asakura,kennedy nzechukwu vs. lukasz brzeski,1,291,kennedy nzechukwu,lukasz brzeski,3.0,5.0,0.0,0.0,0,0,heavyweight,1,0,0,8,2024-12-07,"las vegas, nevada, usa",291.0
ufc fight night: yan vs. figueiredo,petr yan vs. deiveson figueiredo,5,300,petr yan,deiveson figueiredo,5.0,5.0,0.0,0.0,0,0,bantamweight,1,0,2,2,2024-11-23,"macau, china",1500.0
ufc fight night: yan vs. figueiredo,yan xiaonan vs. tabatha ricci,3,300,yan xiaonan,tabatha ricci,3.0,5.0,0.0,0.0,1,0,strawweight,1,0,2,0,2024-11-23,"macau, china",900.0
ufc fight night: yan vs. figueiredo,song kenan vs. muslim salikhov,1,229,song kenan,muslim salikhov,3.0,5.0,0.0,0.0,0,0,welterweight,0,1,0,5,2024-11-23,"macau, china",229.0
ufc fight night: yan vs. figueiredo,wang cong vs. gabriella fernandes,2,229,wang cong,gabriella fernandes,3.0,5.0,0.0,0.0,1,0,flyweight,0,1,1,1,2024-11-23,"macau, china",529.0
ufc fight night: yan vs. figueiredo,volkan oezdemir vs. carlos ulberg,3,300,volkan oezdemir,carlos ulberg,3.0,5.0,0.0,0.0,0,0,light heavyweight,0,1,2,7,2024-11-23,"macau, china",900.0
ufc fight night: yan vs. figueiredo,zhang mingyang vs. ozzy diaz,1,145,zhang mingyang,ozzy diaz,3.0,5.0,0.0,0.0,0,0,light heavyweight,1,0,0,7,2024-11-23,"macau, china",145.0
ufc fight night: yan vs. figueiredo,baergeng jieleyisi vs. suyoung you,3,300,baergeng jieleyisi,suyoung you,3.0,5.0,,5.0,0,0,bantamweight,0,1,2,2,2024-11-23,"macau, china",900.0
ufc fight night: yan vs. figueiredo,kiru sahota vs. donghun choi,1,156,kiru sahota,donghun choi,3.0,5.0,,5.0,0,0,flyweight,0,1,0,1,2024-11-23,"macau, china",156.0
ufc fight night: yan vs. figueiredo,shi ming vs. feng xiaocan,3,46,shi ming,feng xiaocan,3.0,5.0,,5.0,1,0,strawweight,1,0,0,0,2024-11-23,"macau, china",646.0
ufc fight night: yan vs. figueiredo,nyamjargal tumendemberel vs. carlos hernandez,3,300,nyamjargal tumendemberel,carlos hernandez,3.0,5.0,0.0,0.0,0,0,flyweight,0,1,2,1,2024-11-23,"macau, china",900.0
ufc fight night: yan vs. figueiredo,lone'er kavanagh vs. jose ochoa,3,300,lone'er kavanagh,jose ochoa,3.0,5.0,0.0,0.0,0,0,flyweight,1,0,2,1,2024-11-23,"macau, china",900.0
ufc fight night: yan vs. figueiredo,xiao long vs. quang le,3,88,xiao long,quang le,3.0,5.0,0.0,0.0,0,0,bantamweight,1,0,0,2,2024-11-23,"macau, china",688.0
ufc fight night: yan vs. figueiredo,maheshate vs. nikolas motta,3,300,maheshate,nikolas motta,3.0,5.0,0.0,0.0,0,0,lightweight,0,1,2,4,2024-11-23,"macau, china",900.0
ufc 309: jones vs. miocic,jon jones vs. stipe miocic,3,269,jon jones,stipe miocic,5.0,5.0,0.0,0.0,0,1,heavyweight,1,0,0,8,2024-11-16,"new york city, new york, usa",869.0
ufc 309: jones vs. miocic,charles oliveira vs. michael chandler,5,300,charles oliveira,michael chandler,5.0,5.0,0.0,0.0,0,0,lightweight,1,0,2,4,2024-11-16,"new york city, new york, usa",1500.0
ufc 309: jones vs. miocic,bo nickal vs. paul craig,3,300,bo nickal,paul craig,3.0,5.0,0.0,0.0,0,0,middleweight,1,0,2,6,2024-11-16,"new york city, new york, usa",900.0
ufc 309: jones vs. miocic,viviane araujo vs. karine silva,3,300,viviane araujo,karine silva,3.0,5.0,0.0,0.0,1,0,flyweight,1,0,2,1,2024-11-16,"new york city, new york, usa",900.0
